animal_breed;offence;infringment_date;suburb_name
Mixed Breed;Unregistered Dog;2019-09;MALAK
Border Collie;Unregistered Dog;2019-09;LEANYER
Jack Russell Terrier;Unregistered Dog;2019-10;NIGHTCLIFF
Bulldog;Unregistered Dog;2019-12;JINGILI
Bull Arab;Dog Attack Level 1;2020-01;NAKARA
Swiss Shepherd;Dog Attack Level 2;2020-01;RAPID CREEK
Bull Arab;Dog Attack Level 1;2020-01;LARRAKEYAH
Wolfhound;Dog at Large;2019-02;MILLNER
Wolfhound;Dog at Large;2019-03;MILLNER
Staffordshire Bull Terrier;Fail To Contain Dog;2019-08;RAAF BASE
American Staffordshire Terrier;Dog Attack Level 1;2019-08;LEANYER
Bullmastiff;Fail To Contain Dog;2018-11;LEANYER
Labrador;Dog at Large;2018-12;TIWI
Bull Arab;Fail To Contain Dog;2019-01;MALAK
Weimaraner;Dog Attack Level 1;2019-02;THE GARDENS
Pit Bull Terrier;Dog at Large;2019-03;KARAMA
Shar Pei;Dog at Large;2019-03;BERRIMAH
Maltese;Dog at Large;2019-03;KARAMA
Wolfhound;Dog at Large;2019-03;MOIL
Staffordshire Bull Terrier;Dog at Large;2019-03;DARWIN
Pointer;Dog at Large;2019-01;ANULA
Dingo;Dog at Large;2019-03;WULAGI
Mixed Breed;Dog Attack Level 1;2019-08;MALAK
German Shepherd Dog;Dog at Large;2019-04;COCONUT GROVE
Bull Arab;Dog at Large;2019-04;COCONUT GROVE
Red Heeler;Dog at Large;2019-04;NAKARA
Maltese;Dog at Large;2019-04;MUIRHEAD
German Shepherd Dog;Dog at Large;2019-05;NIGHTCLIFF
Bull Arab;Dog at Large;2019-05;MALAK
Mixed Breed;Dog at Large;2019-05;MALAK
Mixed Breed;Fail To Contain Dog;2019-05;RAPID CREEK
Mixed Breed;Dog at Large;2019-05;WANGURI
Mixed Breed;Dog at Large;2019-05;STUART PARK
Mixed Breed;Dog at Large;2019-05;MARRARA
Kelpie;Dog at Large;2019-05;MALAK
Blue Heeler;Dog at Large;2019-06;WANGURI
Great Dane;Dog at Large;2019-06;RAPID CREEK
Staffordshire Bull Terrier;Dog at Large;2019-06;DRIVER
Mixed Breed;Dog Attack Level 2;2019-04;KARAMA
Mixed Breed;Dog at Large;2019-04;KARAMA
Chihuahua;Unregistered Dog;2019-04;ALAWA
Irish Wolfhound;Fail To Contain Dog;2019-09;WANGURI
Pit Bull Terrier;Fail To Contain Dog;2019-11;WAGAMAN
Pit Bull Terrier;Dog Attack Level 2;2019-02;RAPID CREEK
Mixed Breed;Dog at Large;2019-03;MALAK
Rottweiler;Dog at Large;2019-08;KARAMA
Staffordshire Bull Terrier;Dog at Large;2019-08;WULAGI
Mixed Breed;Dog at Large;2019-08;WULAGI
Kelpie;Dog at Large;2019-08;WULAGI
Staffordshire Bull Terrier;Dog Attack Level 1;2019-07;MUIRHEAD
Bull Arab;Fail To Contain Dog;2019-08;MOIL
Shar Pei;Fail To Contain Dog;2019-08;TIWI
Pit Bull Terrier;Unregistered Dog;2019-09;MALAK
Bullmastiff;Unregistered Dog;2019-09;LEANYER
Mixed Breed;Unregistered Dog;2019-09;MALAK
Bullmastiff;Unregistered Dog;2019-09;MALAK
Shar Pei;Unregistered Dog;2019-09;MALAK
Chihuahua;Unregistered Dog;2019-09;MALAK
Mixed Breed;Dog Attack Level 2;2019-10;LUDMILLA
Mixed Breed;Fail To Contain Dog;2019-10;STUART PARK
Wolfhound;Dog Attack Level 2;2019-10;BAYVIEW
Terrier;Dog Attack Level 2;2019-12;WANGURI
