lga;census_year;state;sub_category;both_parents_born_overseas;father_only_born_overseas;mother_only_born_overseas;both_parents_born_in_australia;birthplace_not_stated_b;total_responses_c;category
Darwin;2021;Northern Territory;Scottish;1183.0;443.0;407.0;3653.0;21.0;5716.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2011;Northern Territory;Chinese;2485.0;137.0;201.0;543.0;63.0;3429.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2006;Northern Territory;Other(d);4350.0;428.0;468.0;758.0;206.0;6210.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin;2021;Northern Territory;French;298.0;37.0;55.0;129.0;0.0;519.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin;2021;Northern Territory;Maltese;46.0;27.0;15.0;99.0;0.0;189.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2006;Northern Territory;Irish;904.0;502.0;323.0;4320.0;103.0;6152.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2011;Northern Territory;Maori;312.0;50.0;49.0;36.0;9.0;456.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2016;Northern Territory;German;850.0;251.0;220.0;1840.0;39.0;3195.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin;2021;Northern Territory;Italian;798.0;231.0;107.0;905.0;8.0;2059.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2006;Northern Territory;Australian Aboriginal;3.0;48.0;23.0;1069.0;46.0;1189.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2011;Northern Territory;Dutch;486.0;174.0;117.0;250.0;15.0;1042.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2006;Northern Territory;Italian;690.0;239.0;107.0;593.0;53.0;1682.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin;2021;Northern Territory;Chinese;3744.0;147.0;248.0;472.0;31.0;4633.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin;2021;Northern Territory;English;4909.0;1837.0;1654.0;11689.0;155.0;20247.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2011;Northern Territory;Korean;147.0;5.0;3.0;9.0;3.0;167.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2011;Northern Territory;South African;172.0;15.0;10.0;10.0;4.0;211.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2011;Northern Territory;French;194.0;38.0;27.0;135.0;17.0;411.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2011;Northern Territory;Vietnamese;414.0;16.0;11.0;3.0;11.0;455.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2006;Northern Territory;Dutch;505.0;187.0;111.0;238.0;23.0;1064.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2006;Northern Territory;German;827.0;297.0;152.0;1677.0;68.0;3021.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2006;Northern Territory;English;4253.0;1810.0;1436.0;9844.0;454.0;17797.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2006;Northern Territory;Serbian;81.0;14.0;3.0;9.0;8.0;115.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2006;Northern Territory;Welsh;147.0;53.0;32.0;177.0;10.0;419.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin;2021;Northern Territory;Irish;1367.0;497.0;431.0;4656.0;40.0;6989.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2016;Northern Territory;Dutch;455.0;166.0;90.0;271.0;14.0;997.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2016;Northern Territory;Russian;114.0;12.0;17.0;47.0;0.0;188.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin;2021;Northern Territory;Macedonian;24.0;0.0;3.0;14.0;0.0;44.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin;2021;Northern Territory;Russian;110.0;14.0;19.0;55.0;0.0;200.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2016;Northern Territory;Australian Aboriginal;6.0;64.0;26.0;1157.0;35.0;1286.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2016;Northern Territory;Hungarian;111.0;16.0;10.0;30.0;0.0;170.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2016;Northern Territory;Turkish;52.0;4.0;0.0;4.0;0.0;62.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin;2021;Northern Territory;German;791.0;239.0;243.0;1764.0;17.0;3052.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin;2021;Northern Territory;Vietnamese;909.0;17.0;46.0;18.0;4.0;991.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2006;Northern Territory;Lebanese;29.0;9.0;3.0;14.0;0.0;55.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2011;Northern Territory;Hungarian;110.0;30.0;14.0;19.0;3.0;176.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin;2021;Northern Territory;Polish;220.0;47.0;31.0;148.0;0.0;452.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2006;Northern Territory;Polish;180.0;47.0;25.0;82.0;7.0;341.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin;2021;Northern Territory;Sri Lankan;455.0;23.0;12.0;13.0;4.0;508.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin;2021;Northern Territory;South African;218.0;44.0;21.0;20.0;6.0;307.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin;2021;Northern Territory;Hungarian;101.0;20.0;12.0;32.0;0.0;162.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2006;Northern Territory;Scottish;1150.0;429.0;345.0;2877.0;90.0;4891.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2011;Northern Territory;Australian Aboriginal;3.0;46.0;19.0;1285.0;62.0;1415.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2016;Northern Territory;Maltese;51.0;24.0;9.0;77.0;4.0;162.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2016;Northern Territory;South African;185.0;34.0;14.0;14.0;0.0;243.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2011;Northern Territory;Italian;659.0;251.0;94.0;698.0;36.0;1738.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2011;Northern Territory;Serbian;39.0;3.0;4.0;4.0;3.0;53.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2011;Northern Territory;Turkish;42.0;3.0;0.0;3.0;0.0;48.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2016;Northern Territory;Filipino;3491.0;40.0;241.0;86.0;49.0;3911.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2016;Northern Territory;Korean;252.0;7.0;13.0;8.0;3.0;280.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2016;Northern Territory;New Zealander;437.0;122.0;91.0;32.0;11.0;692.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2016;Northern Territory;Spanish;409.0;16.0;22.0;48.0;3.0;492.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2006;Northern Territory;South African;100.0;12.0;6.0;9.0;3.0;130.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2011;Northern Territory;English;4597.0;1881.0;1474.0;11248.0;415.0;19615.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2011;Northern Territory;Welsh;158.0;48.0;42.0;147.0;7.0;402.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2011;Northern Territory;Ancestry not stated;589.0;89.0;81.0;701.0;8063.0;9523.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2016;Northern Territory;Serbian;54.0;3.0;3.0;9.0;0.0;73.0;BY COUNTRY OF BIRTH OF PARENTS
