suburb;census_year;state;sub_category;both_parents_born_overseas;father_only_born_overseas;mother_only_born_overseas;both_parents_born_in_australia;birthplace_not_stated_b;total_responses_c;abs_lga
Tiwi;2016;Northern Territory;French;4.0;0.0;0.0;3.0;0.0;8.0;Darwin
Wagaman;2016;Northern Territory;German;19.0;3.0;3.0;41.0;0.0;63.0;Darwin
Alawa;2006;Northern Territory;Scottish;37.0;14.0;13.0;63.0;0.0;127.0;Darwin
Leanyer;2006;Northern Territory;Irish;51.0;40.0;14.0;254.0;3.0;362.0;Darwin
Leanyer;2006;Northern Territory;Sinhalese;32.0;0.0;0.0;0.0;0.0;32.0;Darwin
Lee Point;2006;Northern Territory;French;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Lee Point;2006;Northern Territory;Indian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Malak;2006;Northern Territory;Lebanese;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Marrara;2006;Northern Territory;Croatian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Marrara;2006;Northern Territory;Filipino;22.0;3.0;4.0;0.0;3.0;32.0;Darwin
Marrara;2006;Northern Territory;Polish;3.0;0.0;0.0;3.0;0.0;6.0;Darwin
Marrara;2006;Northern Territory;South African;3.0;0.0;0.0;0.0;0.0;3.0;Darwin
Millner;2006;Northern Territory;German;42.0;12.0;8.0;61.0;3.0;126.0;Darwin
Moil;2006;Northern Territory;English;133.0;47.0;39.0;293.0;6.0;518.0;Darwin
Nakara;2006;Northern Territory;Maori;12.0;0.0;0.0;0.0;0.0;12.0;Darwin
Nightcliff;2006;Northern Territory;English;223.0;97.0;67.0;487.0;24.0;898.0;Darwin
Parap;2006;Northern Territory;Dutch;12.0;4.0;3.0;4.0;0.0;23.0;Darwin
Parap;2006;Northern Territory;Turkish;4.0;0.0;0.0;0.0;0.0;4.0;Darwin
Parap;2006;Northern Territory;Ancestry not stated;7.0;0.0;3.0;29.0;192.0;231.0;Darwin
Marrara;2016;Northern Territory;Macedonian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Muirhead;2016;Northern Territory;French;5.0;0.0;0.0;0.0;0.0;6.0;Darwin
Muirhead;2016;Northern Territory;Korean;3.0;0.0;0.0;3.0;0.0;9.0;Darwin
Nakara;2016;Northern Territory;French;9.0;0.0;0.0;8.0;0.0;11.0;Darwin
Rapid Creek;2016;Northern Territory;Vietnamese;19.0;0.0;0.0;0.0;0.0;25.0;Darwin
The Gardens (NT);2016;Northern Territory;French;16.0;0.0;0.0;0.0;0.0;16.0;Darwin
The Gardens (NT);2016;Northern Territory;Turkish;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
The Narrows (NT);2016;Northern Territory;Australian;11.0;15.0;17.0;150.0;0.0;194.0;Darwin
The Narrows (NT);2016;Northern Territory;English;35.0;7.0;9.0;94.0;0.0;152.0;Darwin
The Narrows (NT);2016;Northern Territory;French;0.0;0.0;0.0;0.0;0.0;3.0;Darwin
Wagaman;2016;Northern Territory;Spanish;25.0;0.0;0.0;0.0;0.0;29.0;Darwin
Rapid Creek;2011;Northern Territory;Korean;4.0;0.0;0.0;0.0;0.0;4.0;Darwin
Stuart Park;2011;Northern Territory;Turkish;4.0;0.0;0.0;0.0;0.0;4.0;Darwin
Tiwi;2011;Northern Territory;Australian Aboriginal;0.0;0.0;0.0;40.0;7.0;47.0;Darwin
Tiwi;2011;Northern Territory;Indian;94.0;0.0;3.0;3.0;5.0;105.0;Darwin
Tiwi;2011;Northern Territory;Italian;14.0;10.0;3.0;10.0;3.0;40.0;Darwin
Wagaman;2011;Northern Territory;English;108.0;50.0;51.0;233.0;7.0;449.0;Darwin
Wanguri;2011;Northern Territory;Australian;3.0;70.0;66.0;460.0;18.0;617.0;Darwin
Wanguri;2011;Northern Territory;English;97.0;46.0;34.0;269.0;9.0;455.0;Darwin
Wanguri;2011;Northern Territory;Korean;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Winnellie;2011;Northern Territory;Serbian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Woolner;2011;Northern Territory;South African;4.0;0.0;0.0;0.0;0.0;4.0;Darwin
Wulagi;2011;Northern Territory;Australian;21.0;89.0;84.0;811.0;30.0;1035.0;Darwin
Wulagi;2011;Northern Territory;Maori;11.0;3.0;3.0;0.0;0.0;17.0;Darwin
Anula;2006;Northern Territory;Russian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Brinkin;2006;Northern Territory;Chinese;50.0;0.0;4.0;9.0;7.0;70.0;Darwin
Coconut Grove;2006;Northern Territory;Dutch;12.0;10.0;7.0;4.0;3.0;36.0;Darwin
Fannie Bay;2006;Northern Territory;Croatian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Fannie Bay;2006;Northern Territory;Indian;9.0;0.0;0.0;0.0;0.0;9.0;Darwin
Jingili;2006;Northern Territory;Polish;5.0;0.0;0.0;0.0;0.0;5.0;Darwin
Lee Point;2006;Northern Territory;Ancestry not stated;0.0;0.0;0.0;3.0;11.0;14.0;Darwin
Marrara;2006;Northern Territory;Australian;13.0;56.0;54.0;452.0;10.0;585.0;Darwin
Millner;2006;Northern Territory;French;8.0;3.0;4.0;5.0;0.0;20.0;Darwin
Millner;2006;Northern Territory;Hungarian;10.0;3.0;0.0;0.0;0.0;13.0;Darwin
Nightcliff;2006;Northern Territory;Other(d);216.0;21.0;35.0;47.0;12.0;331.0;Darwin
Parap;2006;Northern Territory;Australian Aboriginal;0.0;3.0;3.0;30.0;0.0;36.0;Darwin
Rapid Creek;2006;Northern Territory;French;11.0;3.0;0.0;3.0;0.0;17.0;Darwin
Stuart Park;2006;Northern Territory;Turkish;3.0;0.0;0.0;0.0;0.0;3.0;Darwin
Wagaman;2006;Northern Territory;Dutch;13.0;3.0;3.0;4.0;0.0;23.0;Darwin
Wagaman;2006;Northern Territory;Russian;0.0;0.0;0.0;3.0;0.0;3.0;Darwin
Winnellie;2006;Northern Territory;South African;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Wulagi;2006;Northern Territory;Greek;19.0;8.0;5.0;9.0;5.0;46.0;Darwin
Lyons (NT);2016;Northern Territory;Macedonian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Millner;2016;Northern Territory;Polish;3.0;3.0;3.0;5.0;0.0;11.0;Darwin
Millner;2016;Northern Territory;Turkish;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Muirhead;2016;Northern Territory;Turkish;0.0;0.0;0.0;3.0;0.0;3.0;Darwin
The Narrows (NT);2016;Northern Territory;Other(d);63.0;6.0;0.0;6.0;0.0;76.0;Darwin
Winnellie;2016;Northern Territory;Irish;4.0;0.0;0.0;16.0;0.0;22.0;Darwin
Winnellie;2016;Northern Territory;Serbian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Anula;2016;Northern Territory;English;129.0;76.0;30.0;469.0;4.0;709.0;Darwin
Anula;2016;Northern Territory;French;3.0;0.0;0.0;3.0;0.0;9.0;Darwin
Bayview (NT);2016;Northern Territory;Chinese;70.0;8.0;11.0;14.0;0.0;100.0;Darwin
Bayview (NT);2016;Northern Territory;English;148.0;41.0;40.0;313.0;3.0;544.0;Darwin
Brinkin;2016;Northern Territory;Spanish;7.0;0.0;0.0;0.0;0.0;12.0;Darwin
Brinkin;2016;Northern Territory;Ancestry not stated;0.0;0.0;0.0;0.0;155.0;156.0;Darwin
Casuarina (NT);2016;Northern Territory;Italian;3.0;3.0;0.0;0.0;0.0;9.0;Darwin
Casuarina (NT);2016;Northern Territory;Turkish;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Coonawarra (NT);2016;Northern Territory;Maori;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Fannie Bay;2016;Northern Territory;Indian;43.0;0.0;0.0;0.0;0.0;47.0;Darwin
Rapid Creek;2016;Northern Territory;Greek;37.0;16.0;9.0;14.0;0.0;66.0;Darwin
Rapid Creek;2016;Northern Territory;Russian;5.0;0.0;3.0;0.0;0.0;11.0;Darwin
Stuart Park;2016;Northern Territory;Greek;74.0;14.0;13.0;25.0;0.0;122.0;Darwin
The Narrows (NT);2016;Northern Territory;Irish;10.0;4.0;3.0;34.0;3.0;49.0;Darwin
Alawa;2011;Northern Territory;Macedonian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Anula;2011;Northern Territory;Australian;19.0;63.0;89.0;768.0;25.0;964.0;Darwin
Anula;2011;Northern Territory;Scottish;39.0;14.0;22.0;114.0;0.0;189.0;Darwin
Casuarina (NT);2011;Northern Territory;Russian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Coconut Grove;2011;Northern Territory;German;50.0;8.0;7.0;47.0;5.0;117.0;Darwin
Coonawarra (NT);2011;Northern Territory;Filipino;0.0;0.0;0.0;3.0;0.0;3.0;Darwin
East Point;2011;Northern Territory;Australian;0.0;0.0;0.0;12.0;0.0;12.0;Darwin
Fannie Bay;2011;Northern Territory;Croatian;3.0;3.0;0.0;3.0;0.0;9.0;Darwin
Jingili;2011;Northern Territory;Australian;14.0;84.0;68.0;558.0;21.0;745.0;Darwin
Karama;2011;Northern Territory;Macedonian;6.0;0.0;0.0;0.0;0.0;6.0;Darwin
Larrakeyah;2011;Northern Territory;Turkish;6.0;0.0;0.0;0.0;0.0;6.0;Darwin
Leanyer;2011;Northern Territory;Other(d);374.0;34.0;47.0;47.0;16.0;518.0;Darwin
Lyons (NT);2011;Northern Territory;Croatian;4.0;3.0;0.0;0.0;0.0;7.0;Darwin
Malak;2011;Northern Territory;Filipino;132.0;4.0;11.0;8.0;3.0;158.0;Darwin
Malak;2011;Northern Territory;Hungarian;5.0;3.0;0.0;0.0;0.0;8.0;Darwin
Marrara;2011;Northern Territory;Dutch;17.0;3.0;10.0;0.0;0.0;30.0;Darwin
Marrara;2011;Northern Territory;Sinhalese;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Moil;2011;Northern Territory;Hungarian;3.0;0.0;3.0;0.0;0.0;6.0;Darwin
Nakara;2011;Northern Territory;Australian;15.0;55.0;66.0;404.0;20.0;560.0;Darwin
Nakara;2011;Northern Territory;Ancestry not stated;24.0;4.0;0.0;8.0;99.0;135.0;Darwin
Stuart Park;2011;Northern Territory;Croatian;3.0;4.0;0.0;4.0;0.0;11.0;Darwin
Stuart Park;2011;Northern Territory;Lebanese;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
The Gardens (NT);2011;Northern Territory;Australian Aboriginal;0.0;0.0;0.0;55.0;4.0;59.0;Darwin
The Gardens (NT);2011;Northern Territory;Lebanese;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
The Gardens (NT);2011;Northern Territory;Other(d);58.0;6.0;3.0;8.0;3.0;78.0;Darwin
The Narrows (NT);2011;Northern Territory;Spanish;0.0;0.0;0.0;3.0;0.0;3.0;Darwin
Tiwi;2011;Northern Territory;Hungarian;3.0;0.0;0.0;0.0;0.0;3.0;Darwin
Wagaman;2011;Northern Territory;Scottish;31.0;4.0;3.0;58.0;0.0;96.0;Darwin
Wagaman;2011;Northern Territory;Ancestry not stated;21.0;6.0;3.0;12.0;266.0;308.0;Darwin
Wanguri;2011;Northern Territory;Indian;60.0;0.0;0.0;0.0;0.0;60.0;Darwin
Wanguri;2011;Northern Territory;Irish;20.0;10.0;11.0;111.0;6.0;158.0;Darwin
Winnellie;2011;Northern Territory;Hungarian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Woolner;2011;Northern Territory;Hungarian;6.0;0.0;0.0;0.0;0.0;6.0;Darwin
Wulagi;2011;Northern Territory;Vietnamese;12.0;0.0;0.0;0.0;0.0;12.0;Darwin
Alawa;2016;Northern Territory;Dutch;14.0;0.0;0.0;0.0;0.0;18.0;Darwin
Anula;2016;Northern Territory;South African;9.0;0.0;4.0;0.0;0.0;12.0;Darwin
Fannie Bay;2016;Northern Territory;English;227.0;78.0;52.0;510.0;15.0;877.0;Darwin
Fannie Bay;2016;Northern Territory;Korean;3.0;0.0;0.0;0.0;0.0;3.0;Darwin
Marrara;2016;Northern Territory;South African;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Millner;2016;Northern Territory;Australian;26.0;82.0;64.0;470.0;13.0;652.0;Darwin
Millner;2016;Northern Territory;Russian;11.0;0.0;0.0;0.0;0.0;7.0;Darwin
Nightcliff;2016;Northern Territory;Hungarian;4.0;3.0;3.0;0.0;0.0;14.0;Darwin
Rapid Creek;2016;Northern Territory;Ancestry not stated;4.0;0.0;0.0;26.0;411.0;445.0;Darwin
The Gardens (NT);2016;Northern Territory;Indian;14.0;0.0;0.0;0.0;4.0;15.0;Darwin
Winnellie;2016;Northern Territory;South African;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Fannie Bay;2011;Northern Territory;Maori;7.0;0.0;0.0;0.0;0.0;7.0;Darwin
Jingili;2011;Northern Territory;Vietnamese;3.0;0.0;0.0;0.0;0.0;3.0;Darwin
Karama;2011;Northern Territory;Greek;111.0;19.0;17.0;49.0;13.0;209.0;Darwin
Karama;2011;Northern Territory;Korean;3.0;0.0;0.0;0.0;0.0;3.0;Darwin
Larrakeyah;2011;Northern Territory;Irish;107.0;27.0;20.0;247.0;4.0;405.0;Darwin
Leanyer;2011;Northern Territory;Vietnamese;22.0;3.0;0.0;0.0;0.0;25.0;Darwin
Lee Point;2011;Northern Territory;Dutch;0.0;0.0;3.0;0.0;0.0;3.0;Darwin
Ludmilla;2011;Northern Territory;South African;4.0;0.0;4.0;0.0;0.0;8.0;Darwin
Lyons (NT);2011;Northern Territory;Filipino;61.0;4.0;0.0;0.0;0.0;65.0;Darwin
Lyons (NT);2011;Northern Territory;Greek;93.0;23.0;7.0;39.0;0.0;162.0;Darwin
Malak;2011;Northern Territory;Welsh;4.0;0.0;3.0;7.0;4.0;18.0;Darwin
Marrara;2011;Northern Territory;Irish;25.0;8.0;7.0;114.0;0.0;154.0;Darwin
Brinkin;2006;Northern Territory;Australian Aboriginal;0.0;0.0;0.0;10.0;3.0;13.0;Darwin
Fannie Bay;2006;Northern Territory;Greek;35.0;10.0;0.0;21.0;0.0;66.0;Darwin
Karama;2006;Northern Territory;Polish;10.0;0.0;0.0;0.0;0.0;10.0;Darwin
Larrakeyah;2006;Northern Territory;Other(d);125.0;25.0;22.0;17.0;8.0;197.0;Darwin
Leanyer;2006;Northern Territory;Greek;149.0;37.0;7.0;43.0;8.0;244.0;Darwin
Lee Point;2006;Northern Territory;Filipino;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Lee Point;2006;Northern Territory;Vietnamese;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Ludmilla;2006;Northern Territory;Chinese;18.0;6.0;3.0;9.0;0.0;36.0;Darwin
Ludmilla;2006;Northern Territory;Dutch;14.0;11.0;3.0;3.0;0.0;31.0;Darwin
Malak;2006;Northern Territory;American;4.0;0.0;3.0;0.0;0.0;7.0;Darwin
Moil;2006;Northern Territory;Serbian;3.0;4.0;3.0;0.0;0.0;10.0;Darwin
Nakara;2006;Northern Territory;French;4.0;0.0;0.0;3.0;0.0;7.0;Darwin
Nightcliff;2006;Northern Territory;Lebanese;0.0;0.0;0.0;3.0;3.0;6.0;Darwin
Stuart Park;2006;Northern Territory;Italian;49.0;12.0;3.0;43.0;0.0;107.0;Darwin
Stuart Park;2006;Northern Territory;Spanish;9.0;0.0;3.0;3.0;0.0;15.0;Darwin
Wanguri;2006;Northern Territory;Maori;14.0;3.0;0.0;0.0;3.0;20.0;Darwin
Winnellie;2006;Northern Territory;Macedonian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Winnellie;2006;Northern Territory;Other(d);10.0;0.0;0.0;3.0;3.0;16.0;Darwin
Woolner;2006;Northern Territory;Welsh;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Lyons (NT);2016;Northern Territory;Serbian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Millner;2016;Northern Territory;Hungarian;4.0;0.0;0.0;3.0;0.0;10.0;Darwin
Millner;2016;Northern Territory;Indian;104.0;0.0;0.0;0.0;0.0;101.0;Darwin
Nakara;2016;Northern Territory;Macedonian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Nakara;2016;Northern Territory;Turkish;4.0;0.0;0.0;0.0;0.0;3.0;Darwin
Tiwi;2016;Northern Territory;Irish;55.0;27.0;24.0;136.0;0.0;244.0;Darwin
Wanguri;2016;Northern Territory;Filipino;54.0;0.0;11.0;3.0;0.0;70.0;Darwin
Fannie Bay;2016;Northern Territory;Vietnamese;14.0;0.0;0.0;0.0;0.0;19.0;Darwin
Fannie Bay;2016;Northern Territory;Ancestry not stated;10.0;0.0;0.0;9.0;257.0;279.0;Darwin
Jingili;2016;Northern Territory;Maltese;0.0;0.0;0.0;0.0;0.0;3.0;Darwin
Jingili;2016;Northern Territory;Sri Lankan;8.0;3.0;0.0;0.0;0.0;11.0;Darwin
Karama;2016;Northern Territory;Australian;74.0;170.0;138.0;1149.0;33.0;1561.0;Darwin
Larrakeyah;2016;Northern Territory;German;43.0;16.0;8.0;91.0;0.0;154.0;Darwin
Leanyer;2016;Northern Territory;Maltese;4.0;0.0;0.0;0.0;0.0;6.0;Darwin
Leanyer;2016;Northern Territory;Sri Lankan;33.0;0.0;0.0;0.0;0.0;41.0;Darwin
Lee Point;2016;Northern Territory;New Zealander;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Ludmilla;2016;Northern Territory;Korean;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Lyons (NT);2016;Northern Territory;Welsh;3.0;0.0;0.0;3.0;0.0;5.0;Darwin
Marrara;2016;Northern Territory;German;15.0;4.0;3.0;53.0;4.0;80.0;Darwin
Nightcliff;2016;Northern Territory;Maori;5.0;6.0;0.0;0.0;0.0;19.0;Darwin
Parap;2016;Northern Territory;English;219.0;73.0;63.0;464.0;3.0;822.0;Darwin
Stuart Park;2016;Northern Territory;Dutch;24.0;14.0;3.0;20.0;0.0;62.0;Darwin
Stuart Park;2016;Northern Territory;French;26.0;0.0;3.0;9.0;0.0;37.0;Darwin
The Narrows (NT);2016;Northern Territory;Maltese;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
The Narrows (NT);2016;Northern Territory;Turkish;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Wagaman;2016;Northern Territory;Polish;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Anula;2011;Northern Territory;South African;3.0;0.0;0.0;0.0;0.0;3.0;Darwin
Bayview (NT);2011;Northern Territory;Vietnamese;13.0;0.0;0.0;0.0;0.0;13.0;Darwin
Brinkin;2011;Northern Territory;Hungarian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Coconut Grove;2011;Northern Territory;Other(d);273.0;22.0;26.0;44.0;3.0;368.0;Darwin
Eaton (NT);2011;Northern Territory;Italian;5.0;3.0;0.0;7.0;0.0;15.0;Darwin
Jingili;2011;Northern Territory;German;17.0;13.0;4.0;38.0;3.0;75.0;Darwin
Jingili;2011;Northern Territory;Macedonian;0.0;0.0;0.0;4.0;0.0;4.0;Darwin
Jingili;2011;Northern Territory;Sinhalese;3.0;0.0;0.0;0.0;0.0;3.0;Darwin
Jingili;2011;Northern Territory;Ancestry not stated;14.0;4.0;3.0;6.0;93.0;120.0;Darwin
Alawa;2016;Northern Territory;Sri Lankan;10.0;0.0;0.0;3.0;0.0;17.0;Darwin
Anula;2016;Northern Territory;Indian;35.0;0.0;0.0;9.0;0.0;48.0;Darwin
Casuarina (NT);2016;Northern Territory;Vietnamese;3.0;0.0;0.0;0.0;0.0;3.0;Darwin
East Point;2016;Northern Territory;English;3.0;0.0;0.0;6.0;0.0;6.0;Darwin
East Point;2016;Northern Territory;Macedonian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Larrakeyah;2016;Northern Territory;Polish;3.0;0.0;3.0;10.0;0.0;14.0;Darwin
Lyons (NT);2016;Northern Territory;Dutch;16.0;4.0;3.0;9.0;0.0;32.0;Darwin
Parap;2016;Northern Territory;Hungarian;5.0;0.0;0.0;0.0;0.0;4.0;Darwin
Rapid Creek;2016;Northern Territory;Chinese;46.0;3.0;3.0;19.0;0.0;68.0;Darwin
Rapid Creek;2016;Northern Territory;English;209.0;104.0;62.0;515.0;19.0;914.0;Darwin
Stuart Park;2016;Northern Territory;German;47.0;13.0;10.0;91.0;3.0;163.0;Darwin
Wanguri;2016;Northern Territory;Indian;53.0;0.0;0.0;0.0;0.0;49.0;Darwin
Wulagi;2016;Northern Territory;Filipino;85.0;0.0;13.0;4.0;0.0;110.0;Darwin
Alawa;2006;Northern Territory;Dutch;19.0;0.0;4.0;4.0;0.0;27.0;Darwin
Anula;2006;Northern Territory;Serbian;7.0;0.0;0.0;0.0;0.0;7.0;Darwin
Brinkin;2006;Northern Territory;Irish;21.0;3.0;6.0;54.0;7.0;91.0;Darwin
Brinkin;2006;Northern Territory;Maori;7.0;0.0;0.0;0.0;0.0;7.0;Darwin
Brinkin;2006;Northern Territory;Russian;3.0;0.0;0.0;0.0;0.0;3.0;Darwin
Coconut Grove;2006;Northern Territory;Spanish;19.0;3.0;0.0;4.0;0.0;26.0;Darwin
Jingili;2006;Northern Territory;Welsh;3.0;3.0;7.0;3.0;0.0;16.0;Darwin
Larrakeyah;2006;Northern Territory;Filipino;23.0;3.0;5.0;0.0;6.0;37.0;Darwin
Larrakeyah;2006;Northern Territory;Ancestry not stated;20.0;0.0;3.0;18.0;331.0;372.0;Darwin
Leanyer;2006;Northern Territory;Filipino;82.0;0.0;11.0;0.0;3.0;96.0;Darwin
Leanyer;2006;Northern Territory;Indian;65.0;3.0;0.0;3.0;0.0;71.0;Darwin
Lee Point;2006;Northern Territory;Australian;0.0;9.0;4.0;29.0;3.0;45.0;Darwin
Lee Point;2006;Northern Territory;Sinhalese;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Ludmilla;2006;Northern Territory;Vietnamese;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Malak;2006;Northern Territory;Polish;7.0;0.0;0.0;5.0;0.0;12.0;Darwin
Marrara;2006;Northern Territory;German;18.0;3.0;3.0;46.0;3.0;73.0;Darwin
Marrara;2006;Northern Territory;Spanish;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Millner;2006;Northern Territory;Australian Aboriginal;0.0;0.0;0.0;41.0;0.0;41.0;Darwin
Nakara;2006;Northern Territory;Greek;101.0;3.0;3.0;18.0;6.0;131.0;Darwin
Nightcliff;2006;Northern Territory;Chinese;54.0;5.0;12.0;27.0;5.0;103.0;Darwin
Nightcliff;2006;Northern Territory;Italian;64.0;13.0;3.0;35.0;6.0;121.0;Darwin
Nightcliff;2006;Northern Territory;Maltese;4.0;0.0;0.0;3.0;0.0;7.0;Darwin
Nightcliff;2006;Northern Territory;Polish;11.0;3.0;0.0;5.0;0.0;19.0;Darwin
Rapid Creek;2006;Northern Territory;Maori;7.0;3.0;0.0;0.0;0.0;10.0;Darwin
Stuart Park;2006;Northern Territory;Irish;69.0;32.0;18.0;247.0;6.0;372.0;Darwin
Winnellie;2006;Northern Territory;German;10.0;0.0;0.0;18.0;0.0;28.0;Darwin
Winnellie;2006;Northern Territory;Spanish;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Woolner;2006;Northern Territory;French;0.0;0.0;0.0;3.0;0.0;3.0;Darwin
Woolner;2006;Northern Territory;Macedonian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Wulagi;2006;Northern Territory;Chinese;70.0;0.0;6.0;18.0;7.0;101.0;Darwin
Alawa;2011;Northern Territory;Croatian;3.0;0.0;0.0;0.0;0.0;3.0;Darwin
Alawa;2011;Northern Territory;English;108.0;55.0;39.0;258.0;9.0;469.0;Darwin
Alawa;2011;Northern Territory;Spanish;8.0;0.0;0.0;0.0;0.0;8.0;Darwin
Anula;2011;Northern Territory;Polish;12.0;0.0;0.0;3.0;0.0;15.0;Darwin
Brinkin;2011;Northern Territory;Chinese;85.0;0.0;0.0;3.0;0.0;88.0;Darwin
Brinkin;2011;Northern Territory;Sinhalese;3.0;0.0;0.0;0.0;0.0;3.0;Darwin
Casuarina (NT);2011;Northern Territory;Australian;0.0;0.0;0.0;3.0;3.0;6.0;Darwin
Coonawarra (NT);2011;Northern Territory;Indian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Coonawarra (NT);2011;Northern Territory;Welsh;3.0;0.0;0.0;3.0;0.0;6.0;Darwin
Eaton (NT);2011;Northern Territory;Irish;8.0;5.0;0.0;54.0;0.0;67.0;Darwin
Eaton (NT);2011;Northern Territory;Turkish;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Moil;2011;Northern Territory;Italian;17.0;3.0;0.0;14.0;3.0;37.0;Darwin
Moil;2011;Northern Territory;Sinhalese;7.0;0.0;0.0;0.0;0.0;7.0;Darwin
Nakara;2011;Northern Territory;Serbian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Parap;2011;Northern Territory;Scottish;31.0;13.0;11.0;100.0;3.0;158.0;Darwin
Stuart Park;2011;Northern Territory;Greek;62.0;9.0;3.0;24.0;15.0;113.0;Darwin
Wagaman;2011;Northern Territory;Greek;173.0;35.0;10.0;11.0;9.0;238.0;Darwin
Wagaman;2011;Northern Territory;Russian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Wanguri;2011;Northern Territory;Greek;78.0;16.0;0.0;28.0;7.0;129.0;Darwin
Wanguri;2011;Northern Territory;South African;13.0;0.0;0.0;0.0;0.0;13.0;Darwin
Woolner;2011;Northern Territory;Dutch;9.0;0.0;0.0;5.0;0.0;14.0;Darwin
Woolner;2011;Northern Territory;Welsh;3.0;0.0;0.0;3.0;0.0;6.0;Darwin
Wulagi;2011;Northern Territory;Serbian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Wanguri;2021;Northern Territory;Australian;23.0;65.0;65.0;332.0;0.0;480.0;Darwin
Wanguri;2021;Northern Territory;Macedonian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Alawa;2021;Northern Territory;Croatian;0.0;0.0;0.0;6.0;0.0;6.0;Darwin
Alawa;2021;Northern Territory;Dutch;9.0;0.0;4.0;0.0;0.0;20.0;Darwin
Alawa;2021;Northern Territory;Greek;73.0;12.0;4.0;19.0;3.0;109.0;Darwin
Alawa;2021;Northern Territory;Spanish;3.0;3.0;0.0;3.0;0.0;8.0;Darwin
Alawa;2021;Northern Territory;Welsh;5.0;0.0;0.0;0.0;0.0;8.0;Darwin
Millner;2021;Northern Territory;Chinese;83.0;3.0;8.0;9.0;3.0;116.0;Darwin
Millner;2021;Northern Territory;Dutch;5.0;6.0;3.0;3.0;0.0;20.0;Darwin
Millner;2021;Northern Territory;Filipino;135.0;3.0;20.0;5.0;0.0;169.0;Darwin
Millner;2021;Northern Territory;Greek;77.0;13.0;19.0;16.0;0.0;124.0;Darwin
Millner;2021;Northern Territory;Macedonian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Millner;2021;Northern Territory;Russian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Millner;2021;Northern Territory;Welsh;0.0;0.0;3.0;4.0;0.0;13.0;Darwin
Karama;2021;Northern Territory;Chinese;229.0;0.0;7.0;24.0;3.0;269.0;Darwin
Karama;2021;Northern Territory;Dutch;24.0;13.0;10.0;18.0;0.0;64.0;Darwin
Karama;2021;Northern Territory;English;235.0;85.0;103.0;551.0;12.0;977.0;Darwin
Karama;2021;Northern Territory;Irish;40.0;12.0;18.0;179.0;6.0;249.0;Darwin
Karama;2021;Northern Territory;Maori;13.0;6.0;0.0;5.0;0.0;26.0;Darwin
Karama;2021;Northern Territory;Samoan;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
