organisation_event;financial_year;grant_type;initiative;cash;in_kind_support;total
RSPCA Darwin Regional Branch;19/20;Operational Subsidy;;120000;0;120000
Sea Shepherd Darwin;23/24;Sponsorships;Beach Clean-Up Event;0;256;256
St John Ambulance Australia (NT) Inc;22/23;Community Grant;The Event Health Services AED Upgrade Project will see the purchase of two new AEDs to be used across the Darwin municipality. This purchase will complete the upgrade of our Event Health Services defibrillator stock, ensuring our AEDs are fully functional and fit for purpose (some of our old units are coming up to 10 years old and at the end of their lifespan).;8686;0;8686
Storm PT;22/23;Sponsorships;Healthy Darwin Dry Season – Beginners HIIT;0;149;149
Super Ageing;24/25;Sponsorships;Healthy Darwin 2025 dry season weekly activity – Fitness independence (11 sessions);0;440;440
Surf Life Saving Northern Territory;19/20;Operational Subsidy;;30000;0;30000
Swashbuckler Productions;23/24;Sponsorships;A family space on the Mindil Carnival space and a licensed music event on the beach (Crown Land);0;1825;1825
Swimming Northern Territory Incorporated;20/21;Sponsorships;;9000;0;9000
Swimming Northern Territory Incorporated;24/25;Sponsorships;NT Swimming Championships;8000;0;8000
Territory Fitness Group;23/24;Sponsorships;Healthy Darwin 2023 Dry Season – BoxFit Bootcamp;0;320;320
Territory Native Plants;23/24;Environmental Grant;NT Native Eco Fair;4417;0;4417
Darwin Festival;24/25;Sponsorships;Darwin Festival;150000;16363;166363
The Scout Association of Australia Northern Territory Branch (1st Darwin Scout Group);21/22;Community Grant;2021 Aquafest – Scouts NT;7000;0;7000
The Trustee for the Olive Trust;21/22;Community Grant;Mural painting and skate activation in Bagot Community;2500;0;2500
Top End Women’s Legal Service Inc;22/23;Community Grant;This project will bring together the many multicultural faces of Darwin and unite them through games, activities and dancing as well as traditional foods from various communities.;8000;170;8170
Tourism Top End;20/21;Operational Subsidy;;100000;0;100000
Tourism Top End;24/25;Sponsorships;Cruise ship shuttle;0;6218;6218
Tracey Bunn – Auspicing Body – Browns Mart Theatre;19/20;Community Grant;Venus Rising – A Festival of Women;9225;0;9225
Trybe Yoga Darwin;24/25;Sponsorships;Healthy Darwin 2024–25 wet season weekly activity (Oct–Mar) – Yoga flow for beginners (24 sessions);0;960;960
Two Two One Mental Health Charity;21/22;Community Grant;GO! Nights Cultural Connection;10000;0;10000
Urban Development Institute of Australia NT;22/23;Sponsorships;Premier Gala Event;2750;0;2750
Use Less Plastic;22/23;Sponsorships;Fee Waiver – Permit Fees;0;630;630
Use Less Plastic;23/24;Sponsorships;Too Much Stuff Market – occurs monthly during the dry season;0;630;630
Variety – The Children’s Charity;22/23;Community Grant;The Variety NT Bash is 30 years old, its event brings the celebration to the community. By providing free fun and entertainment we are helping connect the community. By helping kids in need they sick, disadvantaged or living with a disability, we are helping create a city that is liveable.;10000;0;10000
