measure;sector;year;count_amt;type
Turnover (A$m);Retail/Other;2020;591.280337656213;Non-Core
Turnover (A$m);Retail/Other;2021;634.776047535002;Non-Core
Turnover (A$m);Retail/Other;2023;745.210902166144;Non-Core
Turnover (A$m);Transport;2020;75.453714727502;Non-Core
Establishments;Drink;2020;6.0;Supply
Establishments;Drink;2022;8.0;Supply
Establishments;Entertainment;2021;28.0;Supply
Employment;Drink;2021;145.0;Supply
Employment;Drink;2022;145.0;Supply
Employment;Drink;2023;160.0;Supply
Employment;Entertainment;2020;105.0;Supply
Employment;Entertainment;2021;115.0;Supply
Turnover (A$m);Drink;2021;163.690009275047;Supply
Turnover (A$m);Drink;2023;166.233039962579;Supply
Turnover (A$m);Entertainment;2020;34.6010476479557;Supply
Turnover (A$m);Entertainment;2022;38.0858308053069;Supply
Turnover (A$m);Food;2022;141.257478485407;Supply
Establishments;Drink;2020;28.0;Core
Establishments;Drink;2021;24.0;Core
Establishments;Leisure & Entertainment;2022;137.0;Core
Establishments;Food;2021;299.0;Core
Employment;Drink;2020;330.0;Core
Employment;Leisure & Entertainment;2022;1525.0;Core
Employment;Food;2021;3210.0;Core
Employment;Food;2023;3480.0;Core
Turnover (A$m);Drink;2020;48.677613707492;Core
Turnover (A$m);Drink;2021;55.349268450083;Core
Turnover (A$m);Drink;2022;59.7627436473832;Core
Turnover (A$m);Drink;2023;67.251714553191;Core
Turnover (A$m);Food;2020;342.068074945662;Core
Turnover (A$m);Food;2022;425.479541963105;Core
Establishments;Accommodation;2021;60.0;Non-Core
Establishments;Accommodation;2023;59.0;Non-Core
Establishments;Care;2020;30.0;Non-Core
Establishments;Care;2022;31.0;Non-Core
Establishments;Design;2020;239.0;Non-Core
Establishments;Design;2021;241.0;Non-Core
Establishments;Design;2022;277.0;Non-Core
Establishments;Food;2022;71.0;Non-Core
Establishments;Infrastructure;2020;28.0;Non-Core
Establishments;Promotion;2021;21.0;Non-Core
Establishments;Promotion;2022;21.0;Non-Core
Establishments;Research;2020;4.0;Non-Core
Establishments;Retail/Other;2023;212.0;Non-Core
Establishments;Transport;2020;183.0;Non-Core
Establishments;Transport;2021;191.0;Non-Core
Establishments;Transport;2023;176.0;Non-Core
Employment;Care;2023;930.0;Non-Core
Employment;Design;2020;990.0;Non-Core
Employment;Education;2023;335.0;Non-Core
Employment;Food;2020;865.0;Non-Core
Employment;Food;2022;840.0;Non-Core
Employment;Infrastructure;2020;610.0;Non-Core
Employment;Infrastructure;2023;440.0;Non-Core
Employment;Libraries & Archives;2023;0.0;Non-Core
Employment;Promotion;2022;135.0;Non-Core
Employment;Promotion;2023;130.0;Non-Core
Employment;Research;2023;30.0;Non-Core
Employment;Retail/Other;2021;2050.0;Non-Core
Employment;Retail/Other;2022;2355.0;Non-Core
Employment;Transport;2020;280.0;Non-Core
Employment;Transport;2021;310.0;Non-Core
Turnover (A$m);Accommodation;2021;237.0;Non-Core
Turnover (A$m);Accommodation;2022;290.336093990975;Non-Core
Turnover (A$m);Design;2021;257.010454500357;Non-Core
Turnover (A$m);Design;2023;368.823071446206;Non-Core
Turnover (A$m);Education;2020;21.5224632240233;Non-Core
Turnover (A$m);Food;2020;341.47422587266;Non-Core
Turnover (A$m);Food;2023;385.046953212367;Non-Core
Turnover (A$m);Infrastructure;2020;154.610192524981;Non-Core
Turnover (A$m);Infrastructure;2021;156.171474850659;Non-Core
Turnover (A$m);Infrastructure;2022;184.497807604325;Non-Core
Turnover (A$m);Libraries & Archives;2021;0.0;Non-Core
Turnover (A$m);Libraries & Archives;2022;0.0;Non-Core
Turnover (A$m);Retail/Other;2022;753.888903064137;Non-Core
Turnover (A$m);Transport;2021;70.5529250105946;Non-Core
Turnover (A$m);Transport;2022;75.5635071075273;Non-Core
Establishments;Drink;2023;9.0;Supply
Establishments;Entertainment;2020;27.0;Supply
Establishments;Entertainment;2022;32.0;Supply
Establishments;Food;2021;41.0;Supply
Employment;Drink;2020;150.0;Supply
Employment;Entertainment;2022;115.0;Supply
Employment;Food;2021;330.0;Supply
Employment;Food;2022;330.0;Supply
Employment;Food;2023;330.0;Supply
Turnover (A$m);Drink;2020;141.633179071399;Supply
Turnover (A$m);Entertainment;2021;29.9181501609831;Supply
Turnover (A$m);Entertainment;2023;39.9154068960853;Supply
