meeting_type;meeting_date;section;title;department;report_type
Ordinary Council;2024-11-26;Receive and Note Reports;Engagement Outcomes - Waters Ward Multigenerational Recreation Space;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2025-01-28;Notices of Motion;Notice of Motion - Shared and Pedestrian Path Audit Report;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2025-01-28;Receive and Note Reports;Community Consultation Outcomes - Access Strategy;Community;Standard Report
Ordinary Council;2025-01-28;Receive and Note Reports;Engagement Outcomes - Greater Darwin Brand;Innovation;Standard Report
Ordinary Council;2025-01-28;Receive and Note Reports;Monthly Financial Report - November 2024;Corporate;Standard Report
Ordinary Council;2025-02-25;Action Reports;Cor Infinitus Memorial Proposal;Community;Standard Report
Ordinary Council;2025-02-25;Action Reports;Australian Local Government Association National General Assembly Motions 2025;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2025-02-25;Receive and Note Reports;Tier 2 Bi-Annual Performance Report - July to December 2024;Corporate;Standard Report
Ordinary Council;2025-02-25;Information Item;Incoming Correspondence - Power Water - Community Battery Program;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2025-03-25;Action Reports;Review of Investment Policy;Corporate;Standard Report
Ordinary Council;2025-03-25;Action Reports;Relocation of Smith Street Accessible Parking Bays;Community;Standard Report
Ordinary Council;2025-03-25;Receive and Note Reports;Monthly Financial Report - February 2025;Corporate;Standard Report
Ordinary Council;2025-03-25;Information Item;Outgoing Correspondence - Member for Solomon - ALGA Federal Election Advocacy;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2025-04-29;Notices of Motion;Notice of Motion - Smith Street Mall Masterplan;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2025-04-29;Action Reports;Community Advertising Next Steps;Innovation;Standard Report
Ordinary Council;2025-04-29;Receive and Note Reports;Monthly Financial Report - March 2025;Corporate;Standard Report
Ordinary Council;2025-04-29;Receive and Note Reports;Three-month Parking Trial Results;Innovation;Standard Report
Ordinary Council;2025-05-27;Action Reports;Nomination to the Northern Territory Subdivision Development Guidelines Management Committee;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2025-05-27;Action Reports;Darwin RSL Sub Branch Plaque Proposal at the Eternal Flame;Community;Standard Report
Ordinary Council;2025-05-27;Receive and Note Reports;Advisory Committees and Risk Management and Audit Committee Open Meeting Minutes;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2025-05-27;Receive and Note Reports;Local Government Act 2019 - Legislative Reforms Tranche 2, Part B and C;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2025-06-24;Action Reports;3rd Budget Review 2024/2025;Corporate;Standard Report
Ordinary Council;2025-06-24;Action Reports;Northern Territory Planning Commission - Strategic Planning Policy;Innovation;Standard Report
Ordinary Council;2025-06-24;Receive and Note Reports;Monthly Financial Report - May 2025;Corporate;Standard Report
Ordinary Council;2025-06-24;Receive and Note Reports;Advisory Committee Open Meeting Minutes;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2025-08-07;Information Item;Incoming Correspondence - LGANT - Board Meeting Communique;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2025-08-07;Information Item;Outgoing Correspondence - Minister for Local Government and Community Development - Legislative Amendments to the Local Government Act 2019;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2025-07-22;Action Reports;2025 Local Government Election Service Agreement Budget Variation;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2025-07-29;Receive and Note Reports;Interim Monthly Financial Report - June 2025;Corporate;Standard Report
Ordinary Council;2025-07-29;Receive and Note Reports;Tier 2 Bi-Annual Performance Report - January to June 2025;Corporate;Standard Report
Ordinary Council;2025-09-30;Action Reports;Establishment of Executive and Advisory Committees - 24th Council;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2025-09-30;Action Reports;Carry Forward Budget 2024-2025 and Reserve Balances as at 30 June 2025;Corporate;Standard Report
Ordinary Council;2025-09-30;Action Reports;Statutory Delegations - 24th City of Darwin Council;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2025-09-30;Action Reports;Appointment of Deputy Lord Mayor;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2025-09-30;Action Reports;Nominations for the Darwin Division of the Development Consent Authority;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2025-09-30;Action Reports;Nominations for Northern Territory Grants Commission;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2025-09-30;Receive and Note Reports;Interim Monthly Financial Report - August 2025;Corporate;Standard Report
Ordinary Council;2025-09-30;Receive and Note Reports;Interim Monthly Financial Report - July 2025;Corporate;Standard Report
Ordinary Council;2025-10-28;Notices of Motion;Notice of Motion - Economic Development Advisory Committee;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2025-10-28;Notices of Motion;Notice of Motion - Council Transparency and Engagement - Tranche 1;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2025-10-28;Action Reports;Place and Liveability Plan 2050;Innovation;Standard Report
Ordinary Council;2025-10-28;Receive and Note Reports;Interim Monthly Financial Report - September 2025;Corporate;Standard Report
Ordinary Council;2025-02-12;Action Reports;Planning Scheme Amendment - Rezone 12 Dinah Beach Road to Medium Density and High Density Residential;Innovation;Standard Report
Ordinary Council;2025-02-12;Action Reports;Planning Scheme Amendment - Convert Certain Low-risk Developments to Permitted - NT-Wide;Innovation;Standard Report
Ordinary Council;2025-02-12;Action Reports;Planning Scheme Amendment - Part Rezone Zone CN (Conservation) to Zone OR (Organised Recreation) - 422 Trower Road, Tiwi;Innovation;Standard Report
Ordinary Council;2026-01-27;Notices of Motion;Notice of Motion - Cyclone Fina Lessons Learned;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2026-01-27;Action Reports;Kahlin Oval Cricket Training Nets Lighting Upgrade;Community;Standard Report
Ordinary Council;2026-01-27;Action Reports;Lee Point Development - Preliminary Costing Estimates for Legal Advice;Corporate;Standard Report
Ordinary Council;2026-01-27;Action Reports;Nomination to the Minister's Advisory Council on Multicultural Affairs;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2026-01-27;Receive and Note Reports;Advisory Committee and Information Communication Technology Steering Committee Open Meeting Minutes;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2019-07-16;Action Reports;Planning Scheme Amendment - Clause 7.5 (Private Open Space);Innovation;Action Required
Ordinary Council;2019-07-30;Receive and Note Reports;Minutes of the Bombing of Darwin and Military History Committee Meeting of 12 June 2019;Community;Receive & Note
Ordinary Council;2019-08-13;Action Reports;Review of Outdoor Dining Policy;Innovation;Action Required
Ordinary Council;2019-08-13;Receive and Note Reports;Minutes of Youth Advisory Committee - 11 July 2019 and Notes 13 June 2019;Community;Receive & Note
Ordinary Council;2019-08-27;Action Reports;Proposed Planning Scheme Amendment PA2019/0053 - Clause 1.3 (EXCEPTIONS) Exemptions for Outdoor Dining & subleasing of car parking spaces;Innovation;Action Required
Ordinary Council;2019-08-27;Action Reports;Closure of Problem Walkways on Vanderlin Drive, Karama;Community;Action Required
Ordinary Council;2019-08-27;Action Reports;Movement Strategy;Innovation;Action Required
Ordinary Council;2019-09-24;Action Reports;Joint Standing Committee on Migration  - New Inquiry into Migration in Regional Australia;Community;Action Required
Ordinary Council;2019-09-24;Receive and Note Reports;Community Consultation Outcomes: Karama Walkways Closure;Community;Receive & Note
Ordinary Council;2019-10-15;Action Reports;Project Management Plan: Climate Emergency Response;Community;Action Required
Ordinary Council;2019-10-15;Action Reports;Incoming Correspondence Regarding Relocation of Nightcliff Library to John Stokes Square;Community;Action Required
Ordinary Council;2019-10-15;Action Reports;Council Response to Liquor Licence Applications - Hibiscus Tavern;Community;Action Required
Ordinary Council;2019-10-15;Receive and Note Reports;Existing Public Art Assessment - Travellers Walk and Jingli Water Gardens by Ro Koch-Laurie (Artist);Community;Receive & Note
Ordinary Council;2019-10-29;Action Reports;Request for Permanent Closure - Walkway 179:  Abbott Crescent to Osbourne Crescent, Malak;Community;Action Required
Ordinary Council;2019-10-29;Action Reports;Concurrent Development Application - Lot 9988 (69) Progress Drive, Nightcliff;Innovation;Action Required
Ordinary Council;2019-10-29;Receive and Note Reports;Municipal Plan 2019/20 - Monthly Performance Report September 2019;Office of the Lord Mayor and CEO;Receive & Note
Ordinary Council;2019-10-29;Receive and Note Reports;Minutes of Youth Advisory Committee - 17 September 2019;Community;Receive & Note
Ordinary Council;2019-12-11;Action Reports;Heritage Council - Kerbstones located in the Mall;Innovation;Action Required
Ordinary Council;2019-12-11;Receive and Note Reports;Council Minutes Procedures;Office of the Lord Mayor and CEO;Receive & Note
Ordinary Council;2019-11-26;Action Reports;Libraries for People: City of Darwin Library Strategy 2019 - 2023;Community;Action Required
Ordinary Council;2019-11-26;Action Reports;Access and Inclusion Advisory Committee 12 November 2019 Meeting Minutes;Community;Action Required
Ordinary Council;2019-11-26;Receive and Note Reports;Municipal Plan 2019/20 - Monthly Performance Report October 2019;Office of the Lord Mayor and CEO;Receive & Note
Ordinary Council;2019-11-26;Receive and Note Reports;Arts and Cultural Development Advisory Committee Meeting Minutes 15 November 2019;Community;Receive & Note
Ordinary Council;2019-10-12;Action Reports;Planning Scheme Amendment - Reduction in parking requirements within Zone CB (Central Business) & introducing end of trip facility requirements;Innovation;Action Required
Ordinary Council;2019-10-12;Action Reports;Update of City of Darwin Liquor Licence Framework - Liquor Act 2019;Community;Action Required
Ordinary Council;2019-10-12;Action Reports;1st Quarter Budget Review - 2019/2020;Corporate;Action Required
Ordinary Council;2020-11-02;Receive and Note Reports;Access and Inclusion Advisory Committee - 21 January Meeting Minutes;Community;Receive & Note
Ordinary Council;2020-11-02;Receive and Note Reports;Unconfirmed Minutes of the Risk Management and Audit Committee Meeting Held 13 December 2019;Corporate;Receive & Note
Ordinary Council;2020-02-25;Action Reports;Northern Territory Subdivision Development Guidelines;Engineering & City Services;Action Required
Ordinary Council;2020-02-25;Action Reports;Australian Local Government Association - Notices of Motions for the National General Assembly 2020;Office of the Lord Mayor and CEO;Action Required
Ordinary Council;2020-02-25;Information Item;Incoming correspondence;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2020-03-17;Action Reports;Uniform Companion Animal Legislation in the Northern Territoty;Community;Action Required
Ordinary Council;2020-03-17;Action Reports;Car park Extensions to an existing Casino - Lots 5244 & 5772, 1 Casino Drive & 73 Gilruth Avenue, The Gardens;Innovation;Action Required
Ordinary Council;2020-03-17;Action Reports;Minutes Bombing of Darwin and Military History Advisory Committee 5 February 2020 and Review of Terms of Reference;Community;Action Required
Ordinary Council;2020-03-17;Action Reports;Adoption of Procurement Policy;Corporate;Action Required
Ordinary Council;2020-03-17;Action Reports;Adoption of Council's Privacy Policy;Corporate;Action Required
Ordinary Council;2020-03-17;Receive and Note Reports;Darwin Living Lab Update;Innovation;Receive & Note
Ordinary Council;2020-03-31;Action Reports;Dangerous Trees in the Darwin Municipality - Update March 2020;Engineering & City Services;Action Required
Ordinary Council;2020-03-31;Receive and Note Reports;Monthly Financial Report - February 2020;Corporate;Receive & Note
Ordinary Council;2020-08-04;Action Reports;Community Grants 2020/21 Coronavirus (COVID-19) Response;Community;Action Required
Ordinary Council;2020-08-04;Receive and Note Reports;City of Darwin and Northern Territory Government Security Patrol Partnership – Coronavirus (COVID-19);Office of the Lord Mayor and CEO;Receive & Note
Ordinary Council;2020-04-14;Action Reports;Gardens Park Lake Rehabilitation Works;Engineering & City Services;Action Required
Ordinary Council;2020-04-14;Receive and Note Reports;Minutes Arts and Cultural Development Advisory Committee 11 February 2020;Community;Receive & Note
Ordinary Council;2020-12-05;Action Reports;Municipal Plan 2019/20 - Quarterly Performance Report - March 2020 (Q3);Office of the Lord Mayor and CEO;Action Required
Ordinary Council;2020-05-26;Action Reports;Accessible Parking in the CBD;Engineering & City Services;Action Required
Ordinary Council;2020-05-26;Action Reports;Climate Change and Environment Community Grant Program (2020/2021);Engineering & City Services;Action Required
Ordinary Council;2020-05-26;Action Reports;Access and Inclusion Advisory Committee Unconfirmed Meeting Minutes 5 May 2020;Community;Action Required
Ordinary Council;2020-05-26;Receive and Note Reports;Unconfirmed Minutes of the Bombing of Darwin & Military and Civilian History Advisory Committee 6 May 2020;Community;Receive & Note
Ordinary Council;2020-05-26;Receive and Note Reports;Rationalisation of Parking Meters;Innovation;Receive & Note
Ordinary Council;2020-05-26;Receive and Note Reports;Northside Amenity Beautification Project;Community;Receive & Note
Ordinary Council;2020-06-16;Notices of Motion;Notice of Motion - Private fireworks in the City of Darwin;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2020-06-16;Action Reports;Election of Members of Committees 2020/21;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2020-07-28;Notices of Motion;Notice of Motion - Lord Mayor to nominate as President of LGANT;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2020-07-28;Notices of Motion;Notice of Motion - Westlane Carpark tenancies;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2020-07-28;Action Reports;Thrive Public Art Project - Bicentennial Park;Community;Standard Report
Ordinary Council;2020-11-08;Action Reports;Financial Reserves Policy Review - Policy No 067;Corporate;Standard Report
Ordinary Council;2020-09-15;Action Reports;Recommendations contained in the Unconfirmed Minutes Access and Inclusion Advisory Committee for Council Resolution;Community;Standard Report
Ordinary Council;2020-09-29;Action Reports;Adoption of Customer First Strategy;Corporate;Standard Report
Ordinary Council;2020-09-29;Action Reports;Boutler Road Upgrades and Berrimah North Stormwater Drainage Managment;Engineering & City Services;Standard Report
Ordinary Council;2020-09-29;Receive and Note Reports;Monthly Financial Report - August 2020;Corporate;Standard Report
Ordinary Council;2020-11-24;Action Reports;1st Budget Review 2020/2021;Corporate;Standard Report
Ordinary Council;2020-11-24;Receive and Note Reports;Nightcliff Road Crossings and Electronic Speed and Traffic Calming Infrastructure Project;Engineering & City Services;Standard Report
Ordinary Council;2020-11-24;Receive and Note Reports;2020 Pre Cyclone Clean Up/Hard Rubbish Collection;Engineering & City Services;Standard Report
Ordinary Council;2020-08-12;Notices of Motion;Notice of Motion - Online Access to Video of Council Meetings;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2020-08-12;Receive and Note Reports;Unconfirmed Minutes of the Access and Inclusion Advisory Committee 10 November 2020;Community;Standard Report
Ordinary Council;2021-09-02;Action Reports;City of Darwin Funding Guidelines 2021-2024;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2021-09-02;Action Reports;Outdoor Dining - Licensed;Innovation;Standard Report
Ordinary Council;2021-09-02;Action Reports;Review of Policy 069 - Risk Management Policy;Corporate;Standard Report
Ordinary Council;2021-09-02;Receive and Note Reports;Youth Advisory Committee Minutes - 12 November 2020;Community;Standard Report
Ordinary Council;2021-02-23;Notices of Motion;Notice of Motion - Anti-Social Behaviour at Taxi Rank Location on Knuckey Street Darwin;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2021-02-23;Notices of Motion;Notice of Motion - Social Budget Initiatives;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2021-02-23;Receive and Note Reports;Darwin City Deal - Annual Progress Report 2020;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2021-02-23;Receive and Note Reports;Climate Change Action Plan 2011-2020 Finalisation;Engineering & City Services;Standard Report
Ordinary Council;2021-03-16;Notices of Motion;Notice of Motion - Extending Operation Hours of Westlane Car Park and Introduction of Smart Payment System;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2021-03-16;Action Reports;Nuttall Place Consultation Night-Time Bollard Placement;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2021-03-16;Receive and Note Reports;East Point Reserve Advisory Committee Meeting Minutes - 3 March 2021;Engineering & City Services;Standard Report
Ordinary Council;2021-03-16;Receive and Note Reports;Australia's Foreign Relations (State and Territory Arrangements) Act 2020;Innovation;Standard Report
Ordinary Council;2021-03-16;Receive and Note Reports;Youth Advisory Committee Minutes - 11 February 2021;Community;Standard Report
Ordinary Council;2021-03-16;Information Item;Incoming Correspondence - Request for Support for Installation of Memorial at Jingili Water Gardens;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2021-03-30;Action Reports;Monthly Financial Report - February 2021;Corporate;Standard Report
Ordinary Council;2021-03-30;Action Reports;2nd Budget Review 2020/2021;Corporate;Standard Report
Ordinary Council;2021-03-30;Action Reports;Black Spot Program 2021/2022 Project Nomination;Engineering & City Services;Standard Report
Ordinary Council;2021-03-30;Action Reports;Climate Change Action Plan 2011-2020 Finalisation;Engineering & City Services;Standard Report
Ordinary Council;2021-03-30;Action Reports;Reconciliation Action Plan - Implementation Update;Community;Standard Report
Ordinary Council;2021-04-13;Notices of Motion;Notice of Motion - City of Darwin Click and Fix App to Include Health and Well-being Information;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2021-04-13;Action Reports;Review of Policy 069 - Risk Management Policy;Corporate;Standard Report
Ordinary Council;2021-04-13;Action Reports;Review of Policy 013 - Tourism Promotion;Innovation;Standard Report
Ordinary Council;2021-04-13;Action Reports;Wulagi and Karama Walkways - Community Consultation Outcome;Community;Standard Report
Ordinary Council;2021-04-27;Action Reports;Supporting the People of Dili Timor Leste;Innovation;Standard Report
Ordinary Council;2021-04-27;Action Reports;Review of Policy 080 - Disbursements from Bank Account;Corporate;Standard Report
Ordinary Council;2021-04-27;Receive and Note Reports;Youth Advisory Committee Minutes - 8 April 2021;Community;Standard Report
Ordinary Council;2021-04-27;Receive and Note Reports;Risk Management & Audit Committee Minutes - 26 March 2021;Corporate;Standard Report
Ordinary Council;2021-11-05;Action Reports;Safety Sight Lines for Path Users;Innovation;Standard Report
Ordinary Council;2021-11-05;Receive and Note Reports;Darwin Military and Civilian History Advisory Committee Minutes - 14 April 2021;Community;Standard Report
Ordinary Council;2021-05-25;Action Reports;Friendship City Proposal for City of Kochi, India and Davao City, Philippines;Innovation;Standard Report
Ordinary Council;2021-05-25;Action Reports;Response to Petitions Requesting Traffic Calming Measures, Heavy Vehicle Restrictions, Shared Path and Street Lighting on Dinah Beach Road and Duke Street, between Stuart Highway and Tiger Brennan Drive, Stuart Park;Engineering & City Services;Standard Report
Ordinary Council;2021-05-25;Action Reports;Kahlin Oval Facility Upgrades;Community;Standard Report
Ordinary Council;2021-05-25;Action Reports;Nuttall Place Night-Time Bollard Placement;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2021-05-25;Receive and Note Reports;Nuttall Place Darwin Night-Time Bollard Placement - Consultation;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2021-05-25;Receive and Note Reports;Electric Vehicles;Engineering & City Services;Standard Report
Ordinary Council;2021-05-25;Information Item;Incoming Correspondence - Appreciation from Darwin RSL on ANZAC Day Services;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2021-06-29;Action Reports;Draft 2021/22 Municipal Plan - Community Consultation Outcomes;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2021-06-29;Action Reports;2021/22 Declaration of Rates and Charges;Corporate;Standard Report
Ordinary Council;2021-06-29;Action Reports;Adoption of 2021/22 Municipal Plan;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2021-06-29;Action Reports;Submission to the Proposed Expansion of the City of Palmerston Local Government Boundary (to include Unincorporated Land Northcrest Residential Development);Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2021-07-13;Action Reports;Review of Policies 040 - Developer Contributions Plan and 041 - Land Use Planning;Innovation;Standard Report
Ordinary Council;2021-07-13;Action Reports;Local Government Act 2019 - Schedule 1 - Code of Conduct;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2021-07-13;Action Reports;Policy 094 - Elected Members Breach of Code of Conduct;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2021-07-13;Receive and Note Reports;Youth Advisory Committee Minutes - 10 June 2021;Community;Standard Report
Ordinary Council;2021-07-13;Receive and Note Reports;Darwin Military and Civilian History Advisory Committee Minutes - 9 June 2021;Community;Standard Report
Ordinary Council;2021-07-13;Receive and Note Reports;City of Darwin - 'What's On' Events Page;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2021-07-13;Receive and Note Reports;Youth Strategy 2022 - 2026 Consultation Report;Community;Standard Report
Ordinary Council;2021-07-13;Receive and Note Reports;Arts and Cultural Development Advisory Committee Minutes - 29 June 2021;Community;Standard Report
Ordinary Council;2021-07-13;Receive and Note Reports;Reconciliation Action Plan Steering Committee Minutes 8 June 2021;Community;Standard Report
Ordinary Council;2021-07-13;Receive and Note Reports;Response to Bike Issues Report;Engineering & City Services;Standard Report
Ordinary Council;2021-07-27;Action Reports;Roads to Recovery - Nomination of Boulter Road Street Lighting as City of Darwin's 2021/22 Project;Engineering & City Services;Standard Report
Ordinary Council;2021-07-27;Action Reports;Review of Policy 083- Long Term Lease Policy;Innovation;Standard Report
Ordinary Council;2021-07-27;Action Reports;Lee Point Subdivision Place Names Application;Innovation;Standard Report
Ordinary Council;2021-07-27;Action Reports;Red Tape Reduction;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2021-07-27;Receive and Note Reports;Limiting Anti-Social Behaviour Across the Municipality;Community;Standard Report
Ordinary Council;2021-07-27;Receive and Note Reports;Council’s responsibilities under the Northern Territory Environment Protection Act 2019;Engineering & City Services;Standard Report
Ordinary Council;2021-07-27;Receive and Note Reports;Dog and Cat Management Strategy 2018-2022 - Implementation Update;Community;Standard Report
Ordinary Council;2021-07-27;Information Item;Incoming Correspondence - Letter to Lord Mayor Regarding Territory Day;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2021-12-10;Action Reports;Darwin City Centre Master Plan Review 2021;Innovation;Standard Report
Ordinary Council;2021-12-10;Action Reports;Austin Lane & Spain Place Activity Node - Moveable Signs;Innovation;Standard Report
Ordinary Council;2021-12-10;Receive and Note Reports;Discover Darwin;Innovation;Standard Report
Ordinary Council;2021-12-10;Information Item;Incoming Correspondence - Chief Minister - Proposal to Expand the City of Palmerston Boundary;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2021-12-10;Information Item;Incoming Correspondence - Minister for Home Affairs - Refugees in Darwin Detention Facility;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2021-10-26;Action Reports;Advertising and Club Branding at Ovals;Community;Standard Report
Ordinary Council;2021-11-16;Action Reports;Nominations to the NT Water Safety Advisory Council and the NT Grants Commission;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2021-11-16;Action Reports;Parap Village Masterplan;Corporate;Standard Report
Ordinary Council;2021-11-16;Information Item;Incoming Correspondence - Department of the Chief Minister and Cabinet Regarding Allowances for Council Members and Local Authority Members;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2021-11-16;Information Item;Incoming Correspondence - Department of the Chief Mnister and Cabinet Regarding Disaster Recovery Funding Arrangements;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2021-11-30;Action Reports;Remotely Piloted Aircraft Policy;Corporate;Standard Report
Ordinary Council;2021-11-30;Receive and Note Reports;Darwin City Centre Master Plan Review 2021 - November Update;Innovation;Standard Report
Ordinary Council;2021-11-30;Information Item;Incoming Correspondence - Minister for Infrastructure, Planning and Logistics Regarding the Development of Lee Point;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2021-11-30;Information Item;Incoming Correspondence - Senator Malarndirri McCarthy Regarding Electoral Legislation Amendment (Voter Integrity ) Bill 2021;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2021-07-12;Receive and Note Reports;General Rates Revenue By Ward;Corporate;Standard Report
Ordinary Council;2022-01-02;Lord Mayoral Minute;Mayoral Minute - Activation of the MyDarwin scheme in partnership with the Northern Territory Government;Office of the Lord Mayor and CEO;Lord Mayoral Minute
Ordinary Council;2022-01-02;Notices of Motion;Notice of Motion - Independent Living Village;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2022-01-02;Action Reports;Community Consultation Outcome - Walkway 183 - Chambers Crescent to Fawcett Court Malak;Community;Standard Report
Ordinary Council;2022-01-02;Action Reports;Animated Sign Application T&C Investments;Innovation;Standard Report
Ordinary Council;2022-01-02;Action Reports;Lord Mayor - Tree Advisory Committee Re-Establishment;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2022-01-02;Receive and Note Reports;International Relations Advisory Committee Unconfirmed Minutes;Innovation;Standard Report
Ordinary Council;2022-01-02;Receive and Note Reports;Northern Territory Electoral Commission - City of Darwin Local Government Quadrennial Elections Report and Costs;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2022-01-02;Receive and Note Reports;LG 2030 seeking elected members comments to inform endorsement at 2nd Ordinary Meeting February 2022;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2022-02-22;Action Reports;Revised Nightcliff Oval Masterplan;Community;Standard Report
Ordinary Council;2022-02-22;Action Reports;Innovate Reconciliation Action Plan August 2020 – July 2022;Community;Standard Report
Ordinary Council;2022-02-22;Action Reports;Multicultural Organisations;Innovation;Standard Report
Ordinary Council;2022-02-22;Action Reports;Shared Services Policy;Corporate;Standard Report
Ordinary Council;2022-02-22;Receive and Note Reports;Policy Management - 23rd Council Policy Review Schedule;Corporate;Standard Report
Ordinary Council;2022-02-22;Information Item;Incoming Correspondence - Chief Minister - Independent Land Development Review;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2022-02-22;Information Item;Questions;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2022-03-15;Action Reports;Joint Youth Planning Framework;Community;Standard Report
Ordinary Council;2022-03-29;Receive and Note Reports;Monthly Financial Report - February 2022;Corporate;Standard Report
Ordinary Council;2022-03-29;Receive and Note Reports;Unconfirmed Open Minutes - Risk Management and Audit Committee (RMAC) -  25 February 2022;Corporate;Standard Report
Ordinary Council;2022-12-04;Action Reports;Portions 1841, 1842 & 1843 (440, 450 & 460) McMillans Road, Marrara, Subdivision to Create 82 Lots - Stage 1;Innovation;Standard Report
Ordinary Council;2022-12-04;Action Reports;Unspent Grants Reserve proposal;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2022-04-26;Action Reports;Request for Lighting of Gardens Park Golf Links for Charity and Function Events;Innovation;Standard Report
Ordinary Council;2022-04-26;Action Reports;Revised Municipal Busking Conditions;Corporate;Standard Report
Ordinary Council;2022-04-26;Receive and Note Reports;Malak Oval and Fannie Bay Oval Change Room Proposals - Consultation Outcomes;Community;Standard Report
Ordinary Council;2022-04-26;Receive and Note Reports;Quarterly Performance Report: January - March 2022 (Q3);Corporate;Standard Report
Ordinary Council;2022-05-17;Action Reports;Adoption of Gifts and Benefits Policies;Corporate;Standard Report
Ordinary Council;2022-05-17;Information Item;Incoming Correspondence - Department of Infrastructure, Planning and Logistics - Road Safety in the Darwin Municipality;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2022-05-31;Action Reports;Gardens Oval Lights Special Event Request NT Cricket;Community;Standard Report
Ordinary Council;2022-05-31;Action Reports;Memorandum of Understanding between the City of Denpasar and the City of Darwin on Sister City Cooperation;Innovation;Standard Report
Ordinary Council;2022-05-31;Receive and Note Reports;Unconfirmed Minutes for the Sister City and International Relations Advisory Committee;Innovation;Standard Report
Ordinary Council;2022-06-14;Action Reports;3rd Budget Review 2021/2022;Corporate;Standard Report
Ordinary Council;2022-06-14;Action Reports;Subdivision to Create 63 Lots - Sections 4279 4278 & 4882 (38, 32, 25) Bowerlee Road, Berrimah - Stage 1;Innovation;Standard Report
Ordinary Council;2022-06-14;Action Reports;Liquor Licence Framework 2022;Community;Standard Report
Ordinary Council;2022-06-14;Receive and Note Reports;Community Advisory Committee Minutes;Community;Standard Report
Ordinary Council;2022-06-28;Action Reports;Waste Management Exemption Policy;Innovation;Standard Report
Ordinary Council;2022-06-28;Receive and Note Reports;Monthly Financial Report - May 2022;Corporate;Standard Report
