meeting_type;meeting_date;section;title;department;report_type
Ordinary Council;2025-04-29;Action Reports;Review of Public Library Service Policy;Community;Standard Report
Ordinary Council;2025-04-29;Action Reports;Appointment to the Chief Executive Officer Performance Appraisal Committee;Corporate;Standard Report
Ordinary Council;2025-05-27;Action Reports;Nomination to the Northern Territory Place Names Committee;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2025-05-27;Action Reports;Review of Fees and Charges Policy;Corporate;Standard Report
Ordinary Council;2025-05-27;Action Reports;Concurrent Planning Scheme Amendment - Murrabibbi Street and Leanyer Drive, Leanyer;Innovation;Standard Report
Ordinary Council;2025-05-27;Receive and Note Reports;Policy Management - 23rd Council Policy Review Schedule;Corporate;Standard Report
Ordinary Council;2025-06-24;Notices of Motion;Notice of Motion - Installation of Footpaths Winnellie;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2025-06-24;Action Reports;Adoption of 2025/26 Municipal Plan;Corporate;Standard Report
Ordinary Council;2025-07-29;Action Reports;Review of Developer Contributions Policy;Innovation;Standard Report
Ordinary Council;2025-07-29;Action Reports;Review of Filling Casual Vacancies Policy;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2025-09-30;Action Reports;Review of Casting Vote Policy - 24th City of Darwin Council;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2025-09-30;Action Reports;Meeting Schedule - 24th City of Darwin Council;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2025-09-30;Action Reports;Acquittal of 2023/24 Local Government Immediate Priority Grants;Corporate;Standard Report
Ordinary Council;2025-10-28;Action Reports;Local Government Association of the Northern Territory Call for Motions;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2025-10-28;Action Reports;Nominations for Local Government Association of the Northern Territory (LGANT) Board;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2025-10-28;Receive and Note Reports;Engagement Report - Draft Place and Liveability Plan 2050;Innovation;Standard Report
Ordinary Council;2025-11-25;Action Reports;Nomination to the Northern Territory Place Names Committee;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2025-11-25;Action Reports;Football Northern Territory - Bagot Oval - Request for Funding;Community;Standard Report
Ordinary Council;2025-11-25;Receive and Note Reports;Monthly Financial Report - October 2025;Corporate;Standard Report
