abs_lga;suburb;census_year;state;category;sub_category;speaks_english_only;very_well_or_well;not_well_or_not_at_all;total_1;not_stated_b;total_2
Darwin;Woolner;2016;Northern Territory;;Maltese;;0.0;0.0;0.0;0.0;0.0
Darwin;Wulagi;2016;Northern Territory;;Japanese;;7.0;0.0;7.0;0.0;7.0
Darwin;Wulagi;2016;Northern Territory;Southeast Asian Austronesian languages;Indonesian;;27.0;3.0;35.0;0.0;35.0
Darwin;Alawa;2016;Northern Territory;;Japanese;;0.0;0.0;0.0;0.0;0.0
Darwin;Anula;2016;Northern Territory;;Speaks English only;1716.0;;;;;1716.0
Darwin;Bayview (NT);2016;Northern Territory;;Arabic;;5.0;0.0;5.0;0.0;5.0
Darwin;Bayview (NT);2016;Northern Territory;Indo-Aryan languages;Urdu;;3.0;0.0;3.0;0.0;3.0
Darwin;Bayview (NT);2016;Northern Territory;;Japanese;;0.0;0.0;0.0;0.0;0.0
Darwin;Brinkin;2016;Northern Territory;Chinese languages;Other(c);;4.0;0.0;4.0;0.0;4.0
Darwin;Brinkin;2016;Northern Territory;;Japanese;;6.0;0.0;5.0;0.0;5.0
Darwin;Coconut Grove;2016;Northern Territory;;Polish;;0.0;0.0;0.0;0.0;0.0
Darwin;Coconut Grove;2016;Northern Territory;;Tamil;;11.0;3.0;17.0;0.0;17.0
Darwin;Coonawarra (NT);2016;Northern Territory;;German;;0.0;0.0;0.0;0.0;0.0
Darwin;Coonawarra (NT);2016;Northern Territory;Indo-Aryan languages;Hindi;;0.0;0.0;0.0;0.0;0.0
Darwin;Coonawarra (NT);2016;Northern Territory;;Korean;;0.0;0.0;0.0;0.0;0.0
Darwin;Coonawarra (NT);2016;Northern Territory;Southeast Asian Austronesian languages;Indonesian;;0.0;0.0;0.0;0.0;0.0
Darwin;Coonawarra (NT);2016;Northern Territory;;Vietnamese;;0.0;0.0;0.0;0.0;0.0
Darwin;East Point;2016;Northern Territory;Indo-Aryan languages;Hindi;;0.0;0.0;0.0;0.0;0.0
Darwin;East Point;2016;Northern Territory;;Macedonian;;0.0;0.0;0.0;0.0;0.0
Darwin;East Point;2016;Northern Territory;;Russian;;0.0;0.0;0.0;0.0;0.0
Darwin;East Point;2016;Northern Territory;;Samoan;;0.0;0.0;0.0;0.0;0.0
Darwin;Eaton (NT);2016;Northern Territory;;German;;0.0;0.0;0.0;0.0;0.0
Darwin;Eaton (NT);2016;Northern Territory;;Greek;;0.0;0.0;0.0;0.0;0.0
Darwin;Eaton (NT);2016;Northern Territory;;Polish;;0.0;0.0;0.0;0.0;0.0
Darwin;Leanyer;2016;Northern Territory;Southeast Asian Austronesian languages;Tagalog;;98.0;4.0;107.0;4.0;107.0
Darwin;Leanyer;2016;Northern Territory;Southeast Asian Austronesian languages;Other(e);;33.0;3.0;32.0;0.0;32.0
Darwin;Ludmilla;2016;Northern Territory;;Persian (excluding Dari);;0.0;0.0;0.0;0.0;0.0
Darwin;Ludmilla;2016;Northern Territory;;Polish;;0.0;0.0;0.0;0.0;0.0
Darwin;Ludmilla;2016;Northern Territory;;Turkish;;0.0;0.0;0.0;0.0;0.0
Darwin;Ludmilla;2016;Northern Territory;;Language spoken at home not stated;;5.0;0.0;7.0;176.0;189.0
Darwin;Marrara;2016;Northern Territory;;Croatian;;0.0;0.0;0.0;0.0;0.0
Darwin;Marrara;2016;Northern Territory;;Persian (excluding Dari);;3.0;0.0;3.0;0.0;3.0
Darwin;Millner;2016;Northern Territory;;Japanese;;3.0;0.0;3.0;0.0;3.0
Darwin;Millner;2016;Northern Territory;;Language spoken at home not stated;;7.0;3.0;15.0;273.0;285.0
Darwin;Moil;2016;Northern Territory;;Croatian;;0.0;0.0;0.0;0.0;0.0
Darwin;Moil;2016;Northern Territory;;Polish;;3.0;0.0;3.0;0.0;3.0
Darwin;Muirhead;2016;Northern Territory;;German;;4.0;0.0;4.0;0.0;4.0
Darwin;Muirhead;2016;Northern Territory;Indo-Aryan languages;Sinhalese;;45.0;3.0;49.0;0.0;49.0
Darwin;Nakara;2016;Northern Territory;;Macedonian;;0.0;0.0;0.0;0.0;0.0
Darwin;Nakara;2016;Northern Territory;;Vietnamese;;8.0;7.0;20.0;0.0;20.0
Darwin;Rapid Creek;2016;Northern Territory;;Japanese;;0.0;0.0;0.0;0.0;0.0
Darwin;Tiwi;2016;Northern Territory;;German;;14.0;3.0;20.0;0.0;20.0
Darwin;Wagaman;2016;Northern Territory;Chinese languages;Other(c);;15.0;13.0;27.0;0.0;27.0
Darwin;Wagaman;2016;Northern Territory;;Croatian;;0.0;0.0;0.0;0.0;0.0
Darwin;Wagaman;2016;Northern Territory;;Persian (excluding Dari);;0.0;0.0;0.0;0.0;0.0
Darwin;Bayview (NT);2016;Northern Territory;;Samoan;;0.0;0.0;0.0;0.0;0.0
Darwin;Bayview (NT);2016;Northern Territory;Southeast Asian Austronesian languages;Other(e);;5.0;0.0;5.0;0.0;5.0
Darwin;Casuarina (NT);2016;Northern Territory;;Australian Indigenous Languages;;0.0;0.0;0.0;0.0;0.0
Darwin;Casuarina (NT);2016;Northern Territory;;Greek;;0.0;3.0;4.0;0.0;4.0
Darwin;Casuarina (NT);2016;Northern Territory;Indo-Aryan languages;Other(d);;9.0;0.0;9.0;0.0;9.0
Darwin;Casuarina (NT);2016;Northern Territory;;Persian (excluding Dari);;0.0;0.0;0.0;0.0;0.0
Darwin;Coonawarra (NT);2016;Northern Territory;Indo-Aryan languages;Bengali;;0.0;0.0;0.0;0.0;0.0
Darwin;Coonawarra (NT);2016;Northern Territory;Southeast Asian Austronesian languages;Other(e);;0.0;0.0;0.0;0.0;0.0
Darwin;Coonawarra (NT);2016;Northern Territory;;Turkish;;0.0;0.0;0.0;0.0;0.0
Darwin;East Point;2016;Northern Territory;Indo-Aryan languages;Sinhalese;;0.0;0.0;0.0;0.0;0.0
Darwin;East Point;2016;Northern Territory;;Serbian;;0.0;0.0;0.0;0.0;0.0
Darwin;Eaton (NT);2016;Northern Territory;Southeast Asian Austronesian languages;Indonesian;;0.0;0.0;0.0;0.0;0.0
Darwin;Lee Point;2016;Northern Territory;;Macedonian;;0.0;0.0;0.0;0.0;0.0
