abs_lga;census_year;suburb;state;country_of_birth;0_4_years;5_14_years;15_24_years;25_44_years;45_54_years;55_64_years;65_74_years;75_84_years;85_years_and_older;total
Darwin;2016;Wulagi;Northern Territory;Nepal;0.0;0.0;7.0;8.0;0.0;0.0;0.0;0.0;0.0;13.0
Darwin;2016;Alawa;Northern Territory;Netherlands;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;4.0
Darwin;2016;Alawa;Northern Territory;Philippines;0.0;7.0;8.0;31.0;19.0;13.0;7.0;0.0;0.0;87.0
Darwin;2016;Alawa;Northern Territory;Sri Lanka;0.0;3.0;0.0;3.0;0.0;3.0;0.0;0.0;0.0;9.0
Darwin;2016;Bayview (NT);Northern Territory;Italy;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;4.0
Darwin;2016;Bayview (NT);Northern Territory;Lebanon;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;Bayview (NT);Northern Territory;Sri Lanka;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;Brinkin;Northern Territory;Papua New Guinea;0.0;0.0;0.0;3.0;4.0;0.0;0.0;0.0;0.0;5.0
Darwin;2016;Brinkin;Northern Territory;Thailand;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0
Darwin;2016;Casuarina (NT);Northern Territory;Vietnam;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0
Darwin;2016;Coconut Grove;Northern Territory;Ireland;0.0;6.0;0.0;17.0;3.0;4.0;0.0;0.0;0.0;25.0
Darwin;2016;Coonawarra (NT);Northern Territory;Lebanon;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;Coonawarra (NT);Northern Territory;United States of America;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;East Point;Northern Territory;Bosnia and Herzegovina;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;East Point;Northern Territory;Greece;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;Eaton (NT);Northern Territory;Canada;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;Eaton (NT);Northern Territory;Egypt;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;Eaton (NT);Northern Territory;Ireland;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;Fannie Bay;Northern Territory;Indonesia;0.0;0.0;0.0;7.0;3.0;0.0;0.0;0.0;0.0;16.0
Darwin;2016;Fannie Bay;Northern Territory;Nepal;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0
Darwin;2016;Jingili;Northern Territory;China (excludes SARs and Taiwan)(c);0.0;0.0;6.0;7.0;4.0;0.0;3.0;0.0;0.0;18.0
Darwin;2016;Jingili;Northern Territory;Poland;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;Jingili;Northern Territory;Born elsewhere(e);0.0;0.0;3.0;32.0;10.0;7.0;5.0;12.0;0.0;75.0
Darwin;2016;Karama;Northern Territory;Malta;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;Karama;Northern Territory;United States of America;0.0;0.0;0.0;3.0;4.0;0.0;0.0;0.0;0.0;6.0
