animal_name;animal_sex;animal_type;animal_neut;main_breed;second_breed;main_color;second_color;suburb_name
Chip;M;Dog;Y;Kelpie;Collie;Black;;NIGHTCLIFF
Echo;M;Dog;Y;Dachshund;;Black;Tan;JINGILI
Freckles;F;Dog;Y;Mixed Breed;;Brown;;RAPID CREEK
Molly;F;Dog;Y;Dachshund;Cross Breed;Tan;Brown;LUDMILLA
Charley;M;Dog;Y;Cross Breed;;Tan;Black;NIGHTCLIFF
Max;M;Dog;Y;Staffordshire Bull Terrier;Cross Breed;Black;Brindle;JINGILI
Daisy;F;Dog;Y;Staffordshire Bull Terrier;;Tan;;WULAGI
Bones;M;Dog;Y;Rhodesian Ridgeback;;Brown;Tan;THE NARROWS
Lady;F;Dog;Y;Rhodesian Ridgeback;;Tan;;DARWIN
Bulldozer;M;Dog;Y;Great Dane;Labrador;Black;;WULAGI
Lola;F;Dog;Y;Maltese;Shih Tzu;White;;LUDMILLA
Coco;F;Dog;Y;Staffordshire Bull Terrier;;Blue;Fawn;KARAMA
Tiga;M;Dog;Y;Spoodle;;White;;MARRARA
Mr Whiskers;M;Cat;Y;Domestic Short Haired;;Grey;White;FANNIE BAY
Jet;M;Dog;Y;Labrador;Border Collie;Black;;ANULA
Snuggles;F;Cat;Y;Russian Blue;;Black;;LEANYER
Saffron;F;Dog;Y;Bullmastiff;;Tan;;FANNIE BAY
Mango Chippy;F;Dog;Y;Staffordshire Bull Terrier;Cross Breed;Brown;Tan;STUART PARK
Doullie;M;Dog;Y;Staffordshire Bull Terrier;Cross Breed;White;Brindle;JINGILI
Kira;F;Dog;Y;Dobermann;;Black;Red;CASUARINA
Filo;M;Dog;Y;Jack Russell Terrier;Fox Terrier;Black;White;WAGAMAN
Aussie;M;Dog;Y;Staffordshire Bull Terrier;;Brindle;;PARAP
Buddy;M;Dog;Y;Maltese;Cross Breed;Gold;White;KARAMA
Jango;M;Cat;Y;Domestic Short Haired;;Grey;White;ALAWA
Rocky;M;Dog;Y;Border Collie;;Black;White;LEANYER
Miki;F;Dog;Y;Jack Russell Terrier;;Tan;White;JINGILI
Hugo;M;Cat;Y;Burmese;;Bluepoint;;MARRARA
Maggie Mae;F;Dog;Y;Staffordshire Bull Terrier;;Blue;White;STUART PARK
Tigger;F;Cat;Y;Domestic Short Haired;;Tabby;;BRINKIN
Zia;F;Dog;Y;Poodle;;Black;;TIWI
Stitch;M;Cat;Y;Domestic Short Haired;;Ginger;;STUART PARK
Hunter;M;Dog;Y;German Short Haired Pointer;;Brown;;BRINKIN
Mojo;M;Dog;N;Pomeranian;Cross Breed;Red;Tan;COCONUT GROVE
Buddie Boy;M;Dog;Y;Maltese;Cross Breed;White;;TIWI
Charlie;M;Dog;Y;West Highland White Terrier;Cross Breed;White;Cream;TIWI
Alice;F;Dog;Y;Australian Terrier;Cross Breed;Red;White;ANULA
Pockets;F;Dog;N;Weimaraner;Cross Breed;Red;;WULAGI
Boaz;M;Cat;Y;Domestic Short Haired;;Black;;KARAMA
Mac;M;Dog;Y;Cocker Spaniel;;Black;;LEANYER
Swanny;F;Dog;Y;Greyhound;;Black;;PARAP
Louie;M;Dog;Y;Cavoodle;;Red;;LARRAKEYAH
Fletcher;M;Dog;Y;Collie;Cross Breed;Black;White;LYONS
Jasper;F;Cat;Y;Domestic Short Haired;;Tabby;;KARAMA
Simba;M;Dog;Y;Poodle;;Gold;;NIGHTCLIFF
Woody;M;Dog;Y;Border Collie;;Brown;White;DARWIN
Charlie;M;Dog;Y;Australian Cattle Dog;;Blue;;MILLNER
Shorty;M;Dog;Y;Mixed Breed;;Tan;;MILLNER
Ellie;F;Dog;Y;Mixed Breed;;White;;MALAK
Gemma;F;Dog;Y;Labrador;Cross Breed;Black;;NIGHTCLIFF
Mushka;F;Cat;Y;Domestic Short Haired;;Black;White;FANNIE BAY
Bubbles;F;Dog;Y;Schnauzer (Miniature);;Grey;;PARAP
Paris;F;Dog;Y;Border Collie;;Chocolate;White;KARAMA
Ebony;F;Dog;Y;American Staffordshire Terrier;;Black;Brindle;LUDMILLA
Sasha;F;Dog;Y;English Springer Spaniel;;Roan;;KARAMA
Charlie;M;Dog;Y;Mixed Breed;;Tan;;TIWI
Holly;F;Dog;Y;Labrador Retriever;;Chocolate;;WAGAMAN
Maddy;F;Dog;Y;Mixed Breed;;Black;White;MOIL
Elka;F;Dog;Y;Labrador;Cross Breed;Black;;RAPID CREEK
Rajah;M;Dog;Y;Rhodesian Ridgeback;;Red;;WULAGI
Asha;F;Cat;Y;Domestic Short Haired;;Tortiseshell;;MOIL
Billie;F;Dog;Y;Bull Terrier;Australian Cattle Dog;Black;;ALAWA
Evie;F;Dog;Y;Pit Bull Terrier;;Tan;;ALAWA
Bindi;F;Dog;Y;Beagle;Cavalier King Charles Spaniel;Tan;White;WANGURI
Busta;M;Dog;Y;Great Dane;Cross Breed;Black;;JINGILI
Lola;F;Dog;Y;English Staffordshire Bull Terrier;;Blue;;LEANYER
Kava;M;Dog;Y;Pit Bull Terrier;Cross Breed;White;;LUDMILLA
Teddy;M;Dog;Y;Maltese;;White;Cream;MILLNER
Bess;F;Dog;Y;Weimaraner;;Blue;Grey;JINGILI
Rocky;M;Dog;Y;Fox Terrier (Miniature);Chihuahua;Black;White;LEANYER
Zigby;M;Dog;Y;Jack Russell Terrier;;White;Brown;LUDMILLA
Angel;F;Cat;Y;Domestic Short Haired;;Tortiseshell;;TIWI
Budju;M;Dog;Y;Staffordshire Bull Terrier;;Blue;White;NAKARA
Bonza;M;Dog;N;English Bull Terrier;;Tan;;MILLNER
Lucky;F;Cat;Y;Domestic Short Haired;;Ginger;White;STUART PARK
Jack;M;Dog;Y;Boxer;Labrador;Black;;LEANYER
Valache Deveraux (Rafael);M;Dog;N;German Short Haired Pointer;;Brown;White;WANGURI
Tiga;M;Dog;Y;Mixed Breed;;Tan;White;NAKARA
Buddy;M;Dog;Y;American Staffordshire Terrier;;Chocolate;White;MUIRHEAD
Duke;M;Dog;Y;Bullmastiff;;Brown;White;KARAMA
Luther;M;Dog;N;Labrador;;Gold;;COCONUT GROVE
Gidget;F;Dog;Y;Jack Russell Terrier;Cross Breed;White;Brown;TIWI
Charlie;M;Dog;Y;Staffordshire Bull Terrier;;Brindle;;KARAMA
Oreo;M;Dog;Y;Cavalier King Charles Spaniel;Shih Tzu;Black;White;MUIRHEAD
Skye;M;Dog;Y;Labrador;Cross Breed;Black;;WANGURI
Jerry;M;Dog;N;Cavoodle;;Black;White;LUDMILLA
Marco;M;Dog;N;Border Collie;;Blue;White;WINNELLIE
Bandit;M;Dog;Y;Rottweiler;Staffordshire Bull Terrier;Brown;;WANGURI
Indi;F;Dog;Y;Kelpie;Blue Heeler;Black;Tan;TIWI
Indie;F;Dog;Y;Spoodle;;Black;;ANULA
Zeus;M;Dog;N;Mixed Breed;;Black;White;MALAK
Missi;F;Dog;Y;Bull Arab;Cross Breed;Brown;Black;WAGAMAN
Gigi;F;Dog;Y;Shih Tzu;Poodle;Apricot;;ANULA
Whoopie;M;Dog;N;Bull Arab;American Staffordshire Terrier;White;Black;MOIL
Pepper Frankie;F;Dog;Y;Dachshund;;Black;Tan;LARRAKEYAH
Gili;F;Dog;Y;American Staffordshire Terrier;Bullmastiff;Black;White;LYONS
Bear;M;Dog;N;Australian Cattle Dog;Kelpie;Black;Tan;ANULA
Jax;M;Dog;Y;Staffordshire Bull Terrier;Cross Breed;Tan;;WANGURI
Oscar;M;Dog;Y;Border Collie;;Black;White;WULAGI
Raddish;M;Dog;N;Australian Cattle Dog;;Red;;MALAK
Daisy;F;Dog;N;Dingo;;Ginger;;STUART PARK
Milly;F;Dog;Y;Shih Tzu;Cross Breed;Fawn;;NAKARA
Oscar;M;Dog;Y;Cavalier King Charles Spaniel;Poodle;Black;White;BAYVIEW
Sandy;F;Dog;Y;Mixed Breed;;Sandy;;ALAWA
Hunter;M;Dog;N;Rhodesian Ridgeback;;Wheaten;;NAKARA
Lucy;F;Cat;Y;Domestic Short Haired;;Tabby;;RAPID CREEK
Judy;F;Dog;Y;Labrador;Cross Breed;Black;White;KARAMA
Bajjit;F;Dog;Y;Border Collie;;Black;White;RAPID CREEK
Ranger;M;Dog;Y;Bull Arab;Cross Breed;Brindle;;WOOLNER
Neiko Jeffrey;M;Cat;Y;Bobtail;;White;;WULAGI
Tessa;F;Dog;Y;Retriever;;Black;;NAKARA
Cindy;F;Cat;Y;Domestic Short Haired;;TRI;;RAPID CREEK
Alley;F;Cat;Y;Domestic Medium Hair;;Black;;STUART PARK
Silky;F;Dog;Y;Jack Russell Terrier;Maltese;White;Tan;LEANYER
Snowy;M;Dog;Y;Pomeranian;;White;;BRINKIN
Elly;F;Dog;Y;Mixed Breed;;Tan;;KARAMA
Buddy;M;Dog;Y;Border Collie;Blue Heeler;White;Black;LEANYER
Max;M;Dog;Y;Kelpie;;Chocolate;Tan;TIWI
Moe;M;Dog;Y;Staffordshire Bull Terrier;;Black;Brindle;ANULA
Bella;F;Dog;Y;Maltese;Cavalier King Charles Spaniel;White;;LEANYER
Chuwa (Leo);M;Dog;Y;Fox Terrier;;Unknown;;JINGILI
Rogue;M;Dog;Y;English Staffordshire Bull Terrier;;Blue;;WAGAMAN
Jazz;F;Dog;Y;Bullmastiff;Cross Breed;Brindle;White;TIWI
Sophie;F;Dog;Y;Kelpie;Cross Breed;Brown;;LEANYER
Simba;M;Dog;Y;Border Collie;;Red;White;NAKARA
Cookie;M;Dog;Y;Maltese;;Black;White;LEANYER
Hope;F;Dog;Y;Jack Russell Terrier;;White;Tan;LEANYER
Nessa;F;Dog;Y;Mixed Breed;;White;Brown;WULAGI
Jemima;F;Dog;Y;Border Collie;;Black;White;MALAK
Ollie;F;Dog;Y;Fox Terrier;Cross Breed;White;;JINGILI
Lucky 2;M;Dog;N;Shih Tzu;West Highland White Terrier;Brindle;;STUART PARK
Marley;F;Cat;Y;Domestic Medium Hair;;Black;White;BAYVIEW
