lga;census_year;state;category;sub_category;males;females;persons;year_text
Darwin (C);2011;Northern Territory;Highest year of school completed(e);Year 10 or equivalent;5124.0;4326.0;9450.0;2011
Darwin;2021;Northern Territory;Highest year of school completed(f);Did not go to school;244.0;329.0;576.0;2021
Darwin (C);2016;Northern Territory;Age groups;15-19 years;2186.0;1988.0;4177.0;2016
Darwin (C);2016;Northern Territory;Highest year of school completed(f);Year 10 or equivalent;4847.0;3955.0;8805.0;2016
Darwin (C);2011;Northern Territory;Count of persons in other dwellings;Count of persons in other dwellings(f)(g);8732.0;6494.0;15226.0;2011
Darwin;2021;Northern Territory;Age groups;0-4 years;2611.0;2455.0;5067.0;2021
Darwin (C);2016;Northern Territory;Highest year of school completed(f);Year 11 or equivalent;3634.0;2921.0;6556.0;2016
Darwin (C);2006;Northern Territory;Age groups;65-74 years;1516.0;1151.0;2667.0;2006
Darwin (C);2006;Northern Territory;Age groups;0-4 years;2253.0;2179.0;4432.0;2006
Darwin (C);2011;Northern Territory;Age groups;55-64 years;4420.0;3816.0;8236.0;2011
Darwin (C);2011;Northern Territory;Highest year of school completed(e);Year 8 or below;1147.0;1150.0;2297.0;2011
Darwin (C);2016;Northern Territory;Language spoken at home;Other language(d);10451.0;10688.0;21139.0;2016
Darwin;2021;Northern Territory;Total persons;Total persons;40216.0;40321.0;80530.0;2021
Darwin;2021;Northern Territory;Age groups;35-44 years;6213.0;6598.0;12810.0;2021
Darwin;2021;Northern Territory;Age groups;75-84 years;1209.0;1236.0;2449.0;2021
Darwin;2021;Northern Territory;Language used at home;Other language(d);11849.0;12852.0;24699.0;2021
Darwin (C);2016;Northern Territory;Aboriginal and/or Torres Strait Islander persons;Torres Strait Islander;140.0;134.0;276.0;2016
Darwin (C);2016;Northern Territory;Aboriginal and/or Torres Strait Islander persons;Both Aboriginal and Torres Strait Islander(a);280.0;268.0;547.0;2016
Darwin (C);2016;Northern Territory;Age of persons attending an educational institution(e);15-19 years;1449.0;1393.0;2842.0;2016
Darwin (C);2016;Northern Territory;Highest year of school completed(f);Did not go to school;216.0;257.0;473.0;2016
Darwin (C);2006;Northern Territory;Language spoken at home;Other language(d);5218.0;5532.0;10750.0;2006
Darwin;2021;Northern Territory;Aboriginal and/or Torres Strait Islander persons;Both Aboriginal and Torres Strait Islander(a);422.0;448.0;863.0;2021
Darwin (C);2016;Northern Territory;Total persons;Total persons;40446.0;38355.0;78804.0;2016
Darwin (C);2016;Northern Territory;Age groups;75-84 years;870.0;868.0;1740.0;2016
Darwin;2021;Northern Territory;Age groups;20-24 years;2678.0;2429.0;5101.0;2021
Darwin;2021;Northern Territory;Aboriginal and/or Torres Strait Islander persons;Aboriginal;2736.0;3150.0;5881.0;2021
Darwin;2021;Northern Territory;Highest year of school completed(f);Year 12 or equivalent;19385.0;21268.0;40646.0;2021
Darwin (C);2016;Northern Territory;Age groups;05-14 years;4732.0;4473.0;9202.0;2016
Darwin (C);2016;Northern Territory;Highest year of school completed(f);Year 12 or equivalent;17643.0;18182.0;35831.0;2016
Darwin (C);2011;Northern Territory;Age groups;85 years and over;126.0;188.0;314.0;2011
Darwin (C);2016;Northern Territory;Age groups;85 years and over;194.0;277.0;470.0;2016
Darwin (C);2016;Northern Territory;Birthplace;Australia(b);23248.0;21703.0;44953.0;2016
Darwin (C);2016;Northern Territory;Age groups;20-24 years;2753.0;2508.0;5265.0;2016
Darwin (C);2016;Northern Territory;Aboriginal and/or Torres Strait Islander persons;Aboriginal;2369.0;2642.0;5011.0;2016
Darwin (C);2011;Northern Territory;Age of persons attending an educational institution(d);0-4 years;489.0;446.0;935.0;2011
